MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,2.327018
,2022-01-02,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,1.991207
,2022-01-03,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,16.205076000000002
,2022-01-04,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,21.898765
,2022-01-05,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,23.635334
,2022-01-06,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,28.058902
,2022-01-07,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,27.903514
,2022-01-08,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,18.28652
,2022-01-09,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,3.343561
,2022-01-10,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,25.440745
,2022-01-11,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,29.746485
,2022-01-12,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,30.9567
,2022-01-13,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,31.45157
,2022-01-14,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,30.225894
,2022-01-15,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,23.863612
,2022-01-16,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,4.247195
,2022-01-17,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,25.740348
,2022-01-18,31642,AKZO NOBEL CL 514,Consumidor Livre,SUDESTE,60.0,30.412088
