MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.408075
,2022-01-02,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.633603
,2022-01-03,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,4.357291
,2022-01-04,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.354627
,2022-01-05,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.161076
,2022-01-06,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,5.698145
,2022-01-07,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,4.179279
,2022-01-08,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.6195
,2022-01-09,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.444224
,2022-01-10,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.2342010000000005
,2022-01-11,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.43969
,2022-01-12,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.605183
,2022-01-13,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.628853
,2022-01-14,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,4.401172
,2022-01-15,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.452394
,2022-01-16,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.532251
,2022-01-17,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,7.13333
,2022-01-18,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.534119
,2022-01-19,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.883613
,2022-01-20,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.820035
,2022-01-21,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.871597
,2022-01-22,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.397385
,2022-01-23,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.727654
,2022-01-24,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,7.301478
,2022-01-25,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,7.231369
,2022-01-26,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,7.038702
,2022-01-27,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.179273
,2022-01-28,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,5.788747
,2022-01-29,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,3.262877
,2022-01-30,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.482959
,2022-01-31,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.190105
,2022-02-01,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.358856
,2022-02-02,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.6521040000000005
,2022-02-03,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.630878
,2022-02-04,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.317109
,2022-02-05,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.440302
,2022-02-06,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.435832
,2022-02-07,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,5.790822
,2022-02-08,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.018316
,2022-02-09,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,5.88981
,2022-02-10,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.1322790000000005
,2022-02-11,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.458914
,2022-02-12,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,3.386485
,2022-02-13,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.644841
,2022-02-14,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.086087
,2022-02-15,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,5.701413
,2022-02-16,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.403728
,2022-02-17,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.248113
,2022-02-18,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.244426
,2022-02-19,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.820993
,2022-02-20,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,2.640464
,2022-02-21,94050,ALLIANCE ONE EI,Consumidor Especial,SUL,12.0,6.671024
