MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,480.450582
,2022-01-02,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,478.758911
,2022-01-03,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,467.064819
,2022-01-04,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,502.635552
,2022-01-05,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,470.24986
,2022-01-06,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,473.144587
,2022-01-07,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,518.556314
,2022-01-08,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,532.8112160000001
,2022-01-09,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,508.714296
,2022-01-10,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,465.279
,2022-01-11,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,499.401107
,2022-01-12,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,477.532378
,2022-01-13,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,492.521074
,2022-01-14,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,514.248288
,2022-01-15,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,483.596962
,2022-01-16,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,467.718739
,2022-01-17,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,434.120451
,2022-01-18,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,479.525888
,2022-01-19,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,451.346587
,2022-01-20,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,465.272539
,2022-01-21,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,503.674178
,2022-01-22,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,502.97622
,2022-01-23,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,434.291411
,2022-01-24,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,433.318053
,2022-01-25,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,492.887454
,2022-01-26,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,497.693964
,2022-01-27,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,496.235839
,2022-01-28,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,510.241334
,2022-01-29,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,498.362904
,2022-01-30,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,473.89309
,2022-01-31,66295.0,AMBEV SA NE,Consumidor Livre,NORDESTE,549.6,505.177151
