MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,2.810448
,2022-01-02,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,4.265547
,2022-01-03,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,33.115416
,2022-01-04,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,35.068027
,2022-01-05,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,35.299288
,2022-01-06,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,36.333464
,2022-01-07,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,37.453385
,2022-01-08,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,21.632113
,2022-01-09,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,4.8658850000000005
,2022-01-10,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,38.569014
,2022-01-11,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,38.675335
,2022-01-12,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,39.266406
,2022-01-13,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,38.95945
,2022-01-14,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,38.386325
,2022-01-15,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,22.708133
,2022-01-16,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,8.315528
,2022-01-17,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,38.121474
,2022-01-18,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,37.337665
,2022-01-19,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,38.539084
,2022-01-20,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,38.354161
,2022-01-21,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,38.395685
,2022-01-22,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,20.934325
,2022-01-23,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,4.801361
,2022-01-24,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,40.426723
,2022-01-25,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,41.082737
,2022-01-26,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,38.373593
,2022-01-27,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,40.859803
,2022-01-28,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,38.912647
,2022-01-29,85472.0,AMPARO MATR CL 514,Consumidor Livre,SUDESTE,50.400000000000006,23.792636
