MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,2.203297
,2023-01-02,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,9.004548
,2023-01-03,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,12.481033
,2023-01-04,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,12.501495
,2023-01-05,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,12.935955
,2023-01-06,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,13.407399
,2023-01-07,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,7.970033
,2023-01-08,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,3.634401
,2023-01-09,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,13.98124
,2023-01-10,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,14.596355
,2023-01-11,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,14.606548
,2023-01-12,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.300268
,2023-01-13,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.046656
,2023-01-14,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,9.76828
,2023-01-15,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,5.669554
,2023-01-16,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,14.767893
,2023-01-17,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.079412
,2023-01-18,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,13.155316
,2023-01-19,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,13.019799
,2023-01-20,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,12.934073
,2023-01-21,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,9.652484
,2023-01-22,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,5.672939
,2023-01-23,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.232092
,2023-01-24,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.515715
,2023-01-25,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.313455
,2023-01-26,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.157402
,2023-01-27,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.172039
,2023-01-28,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,12.965498
,2023-01-29,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,5.640362
,2023-01-30,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.204151
,2023-01-31,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.660091
,2023-02-01,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.137663
,2023-02-02,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.611408
,2023-02-03,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.652518
,2023-02-04,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,11.128961
,2023-02-05,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,7.554361
,2023-02-06,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.717049
,2023-02-07,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.847576
,2023-02-08,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.639513
,2023-02-09,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.848815
,2023-02-10,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.586131
,2023-02-11,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,10.411332
,2023-02-12,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,5.384248
,2023-02-13,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.77607
,2023-02-14,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.29273
,2023-02-15,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,14.834587
,2023-02-16,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.596039
,2023-02-17,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,15.373593
,2023-02-18,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,9.692219
,2023-02-19,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,2.774426
,2023-02-20,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,9.261561
,2023-02-21,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,8.627127
,2023-02-22,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,13.462316
,2023-02-23,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,13.730107
,2023-02-24,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,13.769666
,2023-02-25,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,7.648313
,2023-02-26,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,2.543564
,2023-02-27,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,13.407214
,2023-02-28,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,13.737628
,2023-03-01,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,13.72187
,2023-03-02,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,13.737699
,2023-03-03,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,13.982814
,2023-03-04,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,8.556068999999999
,2023-03-05,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,5.520509
,2023-03-06,46032,AMVIAN CL 514,Consumidor Livre,SUDESTE,14.4,14.410326
