MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,438.814221
,2022-01-02,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,446.044267
,2022-01-03,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,449.782248
,2022-01-04,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,447.217323
,2022-01-05,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,447.636667
,2022-01-06,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,446.801248
,2022-01-07,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,442.757503
,2022-01-08,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,438.626329
,2022-01-09,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,432.582061
,2022-01-10,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,438.731943
,2022-01-11,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,442.121185
,2022-01-12,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,446.327855
,2022-01-13,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,450.884651
,2022-01-14,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,455.802912
,2022-01-15,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,451.26201
,2022-01-16,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,448.395809
,2022-01-17,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,452.020976
,2022-01-18,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,458.821479
,2022-01-19,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,454.619861
,2022-01-20,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,456.042149
,2022-01-21,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,446.116923
,2022-01-22,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,455.983235
,2022-01-23,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,458.198987
,2022-01-24,85480,ASCENTY TELECOM CL 514,Consumidor Livre,SUDESTE,432.0,463.855647
