MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202406.0,2024-06-01,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.925383
202406.0,2024-06-02,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.856148
202406.0,2024-06-03,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.846857
202406.0,2024-06-04,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,1.056434
202406.0,2024-06-05,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.882965
202406.0,2024-06-06,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.856554
202406.0,2024-06-07,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.826171
202406.0,2024-06-08,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.731321
202406.0,2024-06-09,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.722059
202406.0,2024-06-10,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.736611
202406.0,2024-06-11,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.936059
202406.0,2024-06-12,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,1.025418
202406.0,2024-06-13,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.951061
202406.0,2024-06-14,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.910367
202406.0,2024-06-15,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.791477
202406.0,2024-06-16,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.92573
202406.0,2024-06-17,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.893242
202406.0,2024-06-18,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.821648
202406.0,2024-06-19,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.916624
202406.0,2024-06-20,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,1.030765
202406.0,2024-06-21,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.8628
202406.0,2024-06-22,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.766428
202406.0,2024-06-23,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.783712
202406.0,2024-06-24,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.822068
202406.0,2024-06-25,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.697723
202406.0,2024-06-26,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.890503
202406.0,2024-06-27,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.901108
202406.0,2024-06-28,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.868245
202406.0,2024-06-29,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.758883
202406.0,2024-06-30,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.725248
202407.0,2024-07-01,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.702906
202407.0,2024-07-02,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.710694
202407.0,2024-07-03,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.779994
202407.0,2024-07-04,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.759384
202407.0,2024-07-05,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.988034
202407.0,2024-07-06,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.884925
202407.0,2024-07-07,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.853686
202407.0,2024-07-08,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.777257
202407.0,2024-07-09,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.755782
202407.0,2024-07-10,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.785277
202407.0,2024-07-11,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.789192
202407.0,2024-07-12,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.766867
202407.0,2024-07-13,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.743341
202407.0,2024-07-14,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.8390070000000001
202407.0,2024-07-15,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.737245
202407.0,2024-07-16,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.750008
202407.0,2024-07-17,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.7644569999999999
202407.0,2024-07-18,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.783812
202407.0,2024-07-19,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.858476
202407.0,2024-07-20,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.84121
202407.0,2024-07-21,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.847497
202407.0,2024-07-22,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.770089
202407.0,2024-07-23,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.758511
202407.0,2024-07-24,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.845248
202407.0,2024-07-25,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.908975
202407.0,2024-07-26,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.863595
202407.0,2024-07-27,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.857129
202407.0,2024-07-28,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.969352
202407.0,2024-07-29,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.835246
202407.0,2024-07-30,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.7481720000000001
202407.0,2024-07-31,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.803873
202408.0,2024-08-01,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.7627
202408.0,2024-08-02,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.710434
202408.0,2024-08-03,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.522722
202408.0,2024-08-04,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.718954
202408.0,2024-08-05,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.788477
202408.0,2024-08-06,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.936909
202408.0,2024-08-07,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,1.008886
202408.0,2024-08-08,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,1.092495
202408.0,2024-08-09,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.968092
202408.0,2024-08-10,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.826455
202408.0,2024-08-11,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.7064
202408.0,2024-08-12,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.743226
202408.0,2024-08-13,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.792627
202408.0,2024-08-14,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.755446
202408.0,2024-08-15,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.850918
202408.0,2024-08-16,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.903121
202408.0,2024-08-17,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.961095
202408.0,2024-08-18,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,1.01162
202408.0,2024-08-19,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.966304
202408.0,2024-08-20,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,1.130377
202408.0,2024-08-21,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,1.044209
202408.0,2024-08-22,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,1.005246
202408.0,2024-08-23,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,1.060575
202408.0,2024-08-24,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,1.094799
202408.0,2024-08-25,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.874493
202408.0,2024-08-26,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.668664
202408.0,2024-08-27,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.711055
202408.0,2024-08-28,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.721664
202408.0,2024-08-29,134721.0,B&B BEIRA MAR CE SE,Consumidor Especial,SUDESTE,2.4000000000000004,0.75525
