MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202407.0,2024-07-01,114249,BAHNIUK,Consumidor Especial,SUL,13.32,4.576823
202407.0,2024-07-02,114249,BAHNIUK,Consumidor Especial,SUL,13.32,4.908505
202407.0,2024-07-03,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.240394
202407.0,2024-07-04,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.466723
202407.0,2024-07-05,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.629538
202407.0,2024-07-06,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.492917
202407.0,2024-07-07,114249,BAHNIUK,Consumidor Especial,SUL,13.32,4.829137
202407.0,2024-07-08,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.100402
202407.0,2024-07-09,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.141241
202407.0,2024-07-10,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.070874
202407.0,2024-07-11,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.000397
202407.0,2024-07-12,114249,BAHNIUK,Consumidor Especial,SUL,13.32,4.990051
202407.0,2024-07-13,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.082901
202407.0,2024-07-14,114249,BAHNIUK,Consumidor Especial,SUL,13.32,4.92452
202407.0,2024-07-15,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.028426
202407.0,2024-07-16,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.243164
202407.0,2024-07-17,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.272584
202407.0,2024-07-18,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.280617
202407.0,2024-07-19,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.286802
202407.0,2024-07-20,114249,BAHNIUK,Consumidor Especial,SUL,13.32,5.235131
