MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-12-01,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.53791
,2022-12-02,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.608975
,2022-12-03,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.63513
,2022-12-04,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,13.888725
,2022-12-05,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.504172
,2022-12-06,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.293801
,2022-12-07,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.462353
,2022-12-08,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.748261
,2022-12-09,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.564302
,2022-12-10,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.371427
,2022-12-11,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.203405
,2022-12-12,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.481847
,2022-12-13,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.634509
,2022-12-14,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.569699
,2022-12-15,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.503678
,2022-12-16,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.201647
,2022-12-17,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.342368
,2022-12-18,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,13.872957
,2022-12-19,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.766679
,2022-12-20,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.476601
,2022-12-21,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.637161
,2022-12-22,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.997694
,2022-12-23,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.35069
,2022-12-24,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.372675
,2022-12-25,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,11.854103
,2022-12-26,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.226458
,2022-12-27,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.360908
,2022-12-28,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.108996
,2022-12-29,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.983246
,2022-12-30,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.132568
,2022-12-31,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.405046
,2023-01-01,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,12.137136
,2023-01-02,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.915096
,2023-01-03,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.028096
,2023-01-04,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.988277
,2023-01-05,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.316738
,2023-01-06,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.95426
,2023-01-07,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.040866
,2023-01-08,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.020942
,2023-01-09,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.49817
,2023-01-10,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.987334
,2023-01-11,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,13.931844
,2023-01-12,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.075506
,2023-01-13,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.918198
,2023-01-14,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.88136
,2023-01-15,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.594454
,2023-01-16,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.276407
,2023-01-17,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.25436
,2023-01-18,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.556802
,2023-01-19,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.306221
,2023-01-20,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.806861
,2023-01-21,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.758464
,2023-01-22,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.111922
,2023-01-23,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.74375
,2023-01-24,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.563957
,2023-01-25,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.944182
,2023-01-26,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.693187
,2023-01-27,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.563802
,2023-01-28,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.795596
,2023-01-29,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.196596
,2023-01-30,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.948424
,2023-01-31,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.658517
,2023-02-01,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.998475
,2023-02-02,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.562741
,2023-02-03,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.420698
,2023-02-04,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.299344
,2023-02-05,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.626769
,2023-02-06,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.869128
,2023-02-07,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.964544
,2023-02-08,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.233751
,2023-02-09,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.119233
,2023-02-10,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.980669
,2023-02-11,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.658959
,2023-02-12,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.744935
,2023-02-13,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.350076
,2023-02-14,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.746259
,2023-02-15,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.942128
,2023-02-16,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,13.917119
,2023-02-17,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.521893
,2023-02-18,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.940692
,2023-02-19,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.240529
,2023-02-20,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.93616
,2023-02-21,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.365449
,2023-02-22,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.866656
,2023-02-23,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.038258
,2023-02-24,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.948814
,2023-02-25,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.345099
,2023-02-26,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.58818
,2023-02-27,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.189786
,2023-02-28,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.510641
,2023-03-01,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.150846
,2023-03-02,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.858078
,2023-03-03,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.08105
,2023-03-04,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.475451
,2023-03-05,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,14.725294
,2023-03-06,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.453738
,2023-03-07,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.150419
,2023-03-08,65094.0,BIG BOX ESP,Consumidor Especial,SUDESTE,21.96,15.1979
