MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-12-01,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,3.742448
,2023-12-02,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,0.395697
,2023-12-03,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,0.139897
,2023-12-04,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,3.705954
,2023-12-05,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,3.805341
,2023-12-06,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,4.502625
,2023-12-07,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,3.396236
,2023-12-08,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,3.334069
,2023-12-09,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,0.469481
,2023-12-10,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,0.178242
,2023-12-11,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,3.214646
,2023-12-12,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,3.865812
,2023-12-13,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,3.959233
,2023-12-14,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,4.701369
,2023-12-15,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,3.058461
,2023-12-16,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,0.945945
,2023-12-17,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,0.227013
,2023-12-18,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,4.369587
,2023-12-19,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,3.99568
,2023-12-20,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,4.311793
,2023-12-21,114195,BORILLI RACING,Consumidor Especial,SUL,19.68,3.504699
