MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202403.0,2024-03-01,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-02,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-03,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-04,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-05,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-06,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-07,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-08,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-09,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-10,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-11,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-12,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-13,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-14,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-15,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-16,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-17,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-18,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-19,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-20,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-21,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.0
202403.0,2024-03-22,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.055772
202403.0,2024-03-23,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.054421
202403.0,2024-03-24,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.052863
202403.0,2024-03-25,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.052193
202403.0,2024-03-26,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.051941
202403.0,2024-03-27,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.121884
202403.0,2024-03-28,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.167133
202403.0,2024-03-29,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.064604
202403.0,2024-03-30,118878.0,BRASLASER,Consumidor Especial,SUL,12.0,0.055
