MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-08-01,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,11.283608
,2023-08-02,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,12.38686
,2023-08-03,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,13.219975
,2023-08-04,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,12.786118
,2023-08-05,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,12.929506
,2023-08-06,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,13.134831
,2023-08-07,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,13.874405
,2023-08-08,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,14.241322
,2023-08-09,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,13.483207
,2023-08-10,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,13.720602
,2023-08-11,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,15.396178
,2023-08-12,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,11.516503
,2023-08-13,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,10.940984
,2023-08-14,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,10.504867
,2023-08-15,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,10.4255
,2023-08-16,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,9.621136
,2023-08-17,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,11.198469
,2023-08-18,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,14.129222
,2023-08-19,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,14.563529
,2023-08-20,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,16.968744
,2023-08-21,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,16.543259
,2023-08-22,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,15.939339
,2023-08-23,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,16.12666
,2023-08-24,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,15.51849
,2023-08-25,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,15.02434
,2023-08-26,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,14.369804
,2023-08-27,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,14.353352
,2023-08-28,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,14.096106
,2023-08-29,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,14.298221
,2023-08-30,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,13.672197
,2023-08-31,103727.0,BRK RMM,Consumidor Especial,NORDESTE,48.864,14.792503
,2023-09-01,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,17.194595
,2023-09-02,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,18.514064
,2023-09-03,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,16.921313
,2023-09-04,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,16.835612
,2023-09-05,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,16.34945
,2023-09-06,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,16.369775
,2023-09-07,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,18.660354
,2023-09-08,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,17.359433
,2023-09-09,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,17.277681
,2023-09-10,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,18.534631
,2023-09-11,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,16.955802
,2023-09-12,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,17.72019
,2023-09-13,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,16.699704
,2023-09-14,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,17.434123
,2023-09-15,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,16.871717
,2023-09-16,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,16.713004
,2023-09-17,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,16.422821
,2023-09-18,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,17.382247
,2023-09-19,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,17.721256
,2023-09-20,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,13.72056
,2023-09-21,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,16.689123
,2023-09-22,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,17.546345
,2023-09-23,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,17.522951
,2023-09-24,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,17.27461
,2023-09-25,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,17.978694
,2023-09-26,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,16.865773
,2023-09-27,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,17.112325
,2023-09-28,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,16.863345
,2023-09-29,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,16.65427
,2023-09-30,103727.0,BRK RMM,Consumidor Especial,NORDESTE,51.432,17.026154
,2023-10-01,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.481454
,2023-10-02,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.661799
,2023-10-03,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,16.988919
,2023-10-04,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.474166
,2023-10-05,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.031663
,2023-10-06,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,18.074986
,2023-10-07,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,18.769371
,2023-10-08,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.364086
,2023-10-09,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.856966
,2023-10-10,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.579627
,2023-10-11,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,16.49398
,2023-10-12,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,16.565366
,2023-10-13,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,16.92836
,2023-10-14,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,16.693919
,2023-10-15,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,16.408782
,2023-10-16,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.506118
,2023-10-17,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.624005
,2023-10-18,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,18.967795
,2023-10-19,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.324533
,2023-10-20,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.60189
,2023-10-21,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,18.984184
,2023-10-22,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.148184
,2023-10-23,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.772468
,2023-10-24,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,18.247911
,2023-10-25,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.611221
,2023-10-26,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.690417
,2023-10-27,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.938454
,2023-10-28,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.511431
,2023-10-29,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,16.043868
,2023-10-30,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,18.421529
,2023-10-31,103727.0,BRK RMM,Consumidor Especial,NORDESTE,52.32,17.795767
,2023-11-01,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.435136
,2023-11-02,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,17.020336
,2023-11-03,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.319764
,2023-11-04,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,16.806819
,2023-11-05,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,16.403731
,2023-11-06,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,17.672029
,2023-11-07,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.373626
,2023-11-08,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.60703
,2023-11-09,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.418515
,2023-11-10,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.623403
,2023-11-11,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.366036
,2023-11-12,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.559524
,2023-11-13,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.246834
,2023-11-14,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,14.961603
,2023-11-15,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.378905
,2023-11-16,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.010286
,2023-11-17,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.850948
,2023-11-18,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.124843
,2023-11-19,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.630622
,2023-11-20,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.981316
,2023-11-21,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,20.696405
,2023-11-22,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,20.034538
,2023-11-23,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.441187
,2023-11-24,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.99411
,2023-11-25,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.254381
,2023-11-26,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,17.324261
,2023-11-27,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.768056
,2023-11-28,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.210964
,2023-11-29,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.489551
,2023-11-30,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,17.413367
,2023-12-01,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.807674
,2023-12-02,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.155723
,2023-12-03,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.536662
,2023-12-04,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.829594
,2023-12-05,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.459032
,2023-12-06,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.638759
,2023-12-07,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,20.038594
,2023-12-08,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.39458
,2023-12-09,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.302557
,2023-12-10,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,17.963057
,2023-12-11,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.639683
,2023-12-12,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.476333
,2023-12-13,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.554845
,2023-12-14,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.186505
,2023-12-15,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,21.051159
,2023-12-16,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.796233
,2023-12-17,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,17.758381
,2023-12-18,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,19.697083
,2023-12-19,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.803641
,2023-12-20,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,18.980508
,2023-12-21,103727.0,BRK RMM,Consumidor Especial,NORDESTE,54.336,13.927476
