MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-07-01,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,3.79458
,2022-07-02,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,3.439525
,2022-07-03,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,1.71182
,2022-07-04,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,3.88453
,2022-07-05,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,4.160356
,2022-07-06,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,3.949336
,2022-07-07,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,4.025221
,2022-07-08,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,3.746817
,2022-07-09,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,2.808658
,2022-07-10,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,1.742682
,2022-07-11,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,3.698361
,2022-07-12,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,4.927058
,2022-07-13,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,4.383603
,2022-07-14,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,3.864909
,2022-07-15,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,3.967819
,2022-07-16,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,3.402552
,2022-07-17,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,1.909719
,2022-07-18,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,4.111179
,2022-07-19,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,4.231331
,2022-07-20,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,4.506243
,2022-07-21,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,4.622414
,2022-07-22,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,4.593855
,2022-07-23,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,3.701144
,2022-07-24,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,1.6816
,2022-07-25,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,4.232919
,2022-07-26,38339,C CE CERAMICA TAIOBEIRAS,Consumidor Especial,SUDESTE,12.0,4.553966
