MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,0.001533
,2022-01-02,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,0.331554
,2022-01-03,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,1.987598
,2022-01-04,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.140433
,2022-01-05,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.134137
,2022-01-06,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.931186
,2022-01-07,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.89572
,2022-01-08,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,1.379335
,2022-01-09,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,0.579753
,2022-01-10,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.651658
,2022-01-11,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.374133
,2022-01-12,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.348973
,2022-01-13,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.779902
,2022-01-14,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.824404
,2022-01-15,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,1.822969
,2022-01-16,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,0.494449
,2022-01-17,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.633094
,2022-01-18,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.4060500000000005
,2022-01-19,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.095316
,2022-01-20,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.689852
,2022-01-21,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.684034
,2022-01-22,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.004252
,2022-01-23,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,0.594373
,2022-01-24,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.813668
,2022-01-25,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.091324
,2022-01-26,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.2221
,2022-01-27,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.235355
,2022-01-28,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.205435
,2022-01-29,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,2.390929
,2022-01-30,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,0.505488
,2022-01-31,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.592417
,2022-02-01,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.966816
,2022-02-02,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.106166
,2022-02-03,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.284394
,2022-02-04,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.724564
,2022-02-05,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,1.421214
,2022-02-06,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,1.621031
,2022-02-07,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.609576
,2022-02-08,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.957045
,2022-02-09,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.112877
,2022-02-10,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.122776
,2022-02-11,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.609336
,2022-02-12,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,2.236079
,2022-02-13,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,0.492191
,2022-02-14,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.551251
,2022-02-15,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.070083
,2022-02-16,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.994296
,2022-02-17,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.046671
,2022-02-18,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.91166
,2022-02-19,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,2.482884
,2022-02-20,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,0.606841
,2022-02-21,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.637376
,2022-02-22,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.160325
,2022-02-23,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.351159
,2022-02-24,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.551958
,2022-02-25,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.15045
,2022-02-26,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,2.324112
,2022-02-27,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,0.630212
,2022-02-28,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,0.583832
,2022-03-01,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.449687
,2022-03-02,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.127759
,2022-03-03,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.259405
,2022-03-04,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,2.971167
,2022-03-05,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.610278
,2022-03-06,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,0.690223
,2022-03-07,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.1989730000000005
,2022-03-08,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.98453
,2022-03-09,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,4.891718
,2022-03-10,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.98043
,2022-03-11,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.746578
,2022-03-12,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.359772
,2022-03-13,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,0.687012
,2022-03-14,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.544272
,2022-03-15,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.972504
,2022-03-16,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.961131
,2022-03-17,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,6.0803400000000005
,2022-03-18,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,6.014664
,2022-03-19,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,3.161529
,2022-03-20,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,0.467561
,2022-03-21,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.886539
,2022-03-22,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.845112
,2022-03-23,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,5.992222
,2022-03-24,88596,C CE GEPCO,Consumidor Especial,SUDESTE,12.0,6.258236
