MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-10-01,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.499247
,2022-10-02,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,6.709156
,2022-10-03,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.518564
,2022-10-04,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.570393
,2022-10-05,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.725367
,2022-10-06,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.745476
,2022-10-07,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.593829
,2022-10-08,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.565521
,2022-10-09,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,6.872939
,2022-10-10,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.58387
,2022-10-11,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.767724
,2022-10-12,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.553044
,2022-10-13,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.609329
,2022-10-14,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.631533
,2022-10-15,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.388233
,2022-10-16,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,6.586334
,2022-10-17,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.601659
,2022-10-18,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.521569
,2022-10-19,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.870836
,2022-10-20,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.684916999999999
,2022-10-21,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.86205
,2022-10-22,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.854033
,2022-10-23,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.026065
,2022-10-24,38380,C CE SUPERMERCADOS RICKLI,Consumidor Especial,SUL,15.12,7.846667
