MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,0.314043
,2023-01-02,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,5.11819
,2023-01-03,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,6.299421000000001
,2023-01-04,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,6.688914
,2023-01-05,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,6.408641
,2023-01-06,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,6.397055
,2023-01-07,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,2.223343
,2023-01-08,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,0.315877
,2023-01-09,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,7.046947
,2023-01-10,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,6.590634
,2023-01-11,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,7.375372
,2023-01-12,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,7.358951
,2023-01-13,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,6.677103
,2023-01-14,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,0.943912
,2023-01-15,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,0.350095
,2023-01-16,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,6.125978
,2023-01-17,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,7.730926
,2023-01-18,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,7.943648
,2023-01-19,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,8.692881
,2023-01-20,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,7.799761
,2023-01-21,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,2.671047
,2023-01-22,46418,C CL DOGCHONI,Consumidor Livre,SUDESTE,12.0,0.352547
