MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-05-01,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,7.491339
,2023-05-02,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,26.579119
,2023-05-03,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,26.53042
,2023-05-04,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,28.327504
,2023-05-05,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,29.0305
,2023-05-06,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,23.030257
,2023-05-07,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,7.495328
,2023-05-08,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,28.278364
,2023-05-09,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,28.795157
,2023-05-10,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,29.266374
,2023-05-11,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,29.164728
,2023-05-12,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,20.792625
,2023-05-13,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,6.789645
,2023-05-14,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,7.249017999999999
,2023-05-15,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,25.566503
,2023-05-16,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,26.872961
,2023-05-17,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,27.058541
,2023-05-18,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,27.455213
,2023-05-19,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,26.806103
,2023-05-20,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,18.922889
,2023-05-21,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,7.178827
,2023-05-22,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,22.633988
,2023-05-23,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,24.173734
,2023-05-24,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,25.484187
,2023-05-25,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,25.191283
,2023-05-26,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,24.87031
,2023-05-27,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,20.747922
,2023-05-28,101208.0,CAMIL CL MABEL,Consumidor Livre,SUDESTE,40.8,9.166693
