MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,0.164587
,2022-01-02,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,0.953672
,2022-01-03,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,4.506626
,2022-01-04,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.425468
,2022-01-05,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.507676
,2022-01-06,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,8.539296
,2022-01-07,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,8.637435
,2022-01-08,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.977119
,2022-01-09,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,6.923412
,2022-01-10,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.998513
,2022-01-11,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.578721
,2022-01-12,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.849813
,2022-01-13,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,8.037027
,2022-01-14,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.857423
,2022-01-15,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,8.254075
,2022-01-16,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.221867
,2022-01-17,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,8.21585
,2022-01-18,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.828058
,2022-01-19,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.918648
,2022-01-20,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.424628
,2022-01-21,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.634918
,2022-01-22,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.597587
,2022-01-23,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.304536
,2022-01-24,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.593852
,2022-01-25,61482,CARACOL,Consumidor Especial,SUL,16.799999999999997,7.823297
