MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.087935
,2023-01-02,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.686748
,2023-01-03,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.1996400000000005
,2023-01-04,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.553398
,2023-01-05,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.15858
,2023-01-06,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.594426
,2023-01-07,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.31757
,2023-01-08,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.003377
,2023-01-09,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,3.057506
,2023-01-10,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,2.768669
,2023-01-11,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.122634
,2023-01-12,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.044881
,2023-01-13,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.548628
,2023-01-14,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.798895
,2023-01-15,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.807283
,2023-01-16,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.79706
,2023-01-17,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.393828
,2023-01-18,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.703942
,2023-01-19,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.874405
,2023-01-20,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.680014
,2023-01-21,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.141372
,2023-01-22,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.99851
,2023-01-23,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.510464
,2023-01-24,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.780129
,2023-01-25,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.1222460000000005
,2023-01-26,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.348442
,2023-01-27,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.611623
,2023-01-28,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.087331
,2023-01-29,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.937507
,2023-01-30,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.129385
,2023-01-31,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.325625
,2023-02-01,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.227371
,2023-02-02,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.275931
,2023-02-03,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.292782
,2023-02-04,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.357493
,2023-02-05,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.865822
,2023-02-06,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.22916
,2023-02-07,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.0947320000000005
,2023-02-08,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.170765
,2023-02-09,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.710213
,2023-02-10,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.957762
,2023-02-11,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.046703
,2023-02-12,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.931213
,2023-02-13,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.733068
,2023-02-14,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.217964
,2023-02-15,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.098623
,2023-02-16,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.993119
,2023-02-17,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.509903
,2023-02-18,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.049702
,2023-02-19,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.911242
,2023-02-20,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.884242
,2023-02-21,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.99155
,2023-02-22,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.107456
,2023-02-23,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.9732780000000005
,2023-02-24,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.650019
,2023-02-25,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.484785
,2023-02-26,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.977306
,2023-02-27,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.305862
,2023-02-28,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.002316
,2023-03-01,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.493632
,2023-03-02,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.0803
,2023-03-03,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.05266
,2023-03-04,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.131419
,2023-03-05,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.985763
,2023-03-06,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.938922
,2023-03-07,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.755054
,2023-03-08,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.402944
,2023-03-09,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.597897
,2023-03-10,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.28434
,2023-03-11,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.211853
,2023-03-12,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.980881
,2023-03-13,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.24071
,2023-03-14,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.36407
,2023-03-15,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.266395
,2023-03-16,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.51333
,2023-03-17,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.46861
,2023-03-18,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.271733
,2023-03-19,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.997829
,2023-03-20,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.663755
,2023-03-21,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.6411750000000005
,2023-03-22,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.571038
,2023-03-23,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.483752
,2023-03-24,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.293455
,2023-03-25,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.768827
,2023-03-26,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.923348
,2023-03-27,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.072062
,2023-03-28,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.013571
,2023-03-29,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.37999
,2023-03-30,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.272391
,2023-03-31,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.429385
,2023-04-01,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.025724
,2023-04-02,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.964506
,2023-04-03,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.867501
,2023-04-04,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.384091
,2023-04-05,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,3.883512
,2023-04-06,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,3.799153
,2023-04-07,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.904495
,2023-04-08,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.860815
,2023-04-09,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.857858
,2023-04-10,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.680806
,2023-04-11,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.940382
,2023-04-12,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.449889
,2023-04-13,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.961013
,2023-04-14,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.05087
,2023-04-15,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.321782
,2023-04-16,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.242174
,2023-04-17,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.365233
,2023-04-18,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.288708
,2023-04-19,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.742809
,2023-04-20,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.74534
,2023-04-21,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.001977
,2023-04-22,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.929308
,2023-04-23,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.913626
,2023-04-24,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.610834
,2023-04-25,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.9917370000000005
,2023-04-26,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.342751
,2023-04-27,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.518969
,2023-04-28,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.763363
,2023-04-29,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.026647
,2023-04-30,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.949223
,2023-05-01,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.839511
,2023-05-02,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.049243
,2023-05-03,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.160426
,2023-05-04,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.723992
,2023-05-05,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.330019
,2023-05-06,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.607348
,2023-05-07,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.035958
,2023-05-08,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.999776
,2023-05-09,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.475792
,2023-05-10,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.861464
,2023-05-11,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.196034
,2023-05-12,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.383401
,2023-05-13,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.367057
,2023-05-14,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.041692
,2023-05-15,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.77275
,2023-05-16,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.794859
,2023-05-17,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.673904
,2023-05-18,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.370738
,2023-05-19,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.348086
,2023-05-20,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.340694
,2023-05-21,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.716282
,2023-05-22,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.397227
,2023-05-23,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.498942
,2023-05-24,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.620504
,2023-05-25,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.033449
,2023-05-26,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,3.140176
,2023-05-27,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.745595
,2023-05-28,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.249932
,2023-05-29,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.714632
,2023-05-30,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.271679
,2023-05-31,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.023953
,2023-06-01,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.559941
,2023-06-02,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.953138
,2023-06-03,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.219922
,2023-06-04,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.604327
,2023-06-05,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.557328
,2023-06-06,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.432321
,2023-06-07,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.714968
,2023-06-08,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.001745
,2023-06-09,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.877848
,2023-06-10,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.804284
,2023-06-11,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.733988
,2023-06-12,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.986926
,2023-06-13,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.353603
,2023-06-14,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.071697
,2023-06-15,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.523125
,2023-06-16,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.709476
,2023-06-17,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,3.158753
,2023-06-18,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.982268
,2023-06-19,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.622447
,2023-06-20,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.512981
,2023-06-21,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,8.403053
,2023-06-22,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.812249
,2023-06-23,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.104336
,2023-06-24,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.732043
,2023-06-25,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.697179
,2023-06-26,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.03327
,2023-06-27,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.021647
,2023-06-28,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.283854
,2023-06-29,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.181192
,2023-06-30,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.980958
,2023-07-01,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.09486
,2023-07-02,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.973106
,2023-07-03,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.022914
,2023-07-04,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.345893
,2023-07-05,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.477374
,2023-07-06,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.1537500000000005
,2023-07-07,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.267004
,2023-07-08,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.350221
,2023-07-09,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.188433
,2023-07-10,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.234067
,2023-07-11,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.555014
,2023-07-12,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.926265
,2023-07-13,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.352940999999999
,2023-07-14,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,7.128553
,2023-07-15,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,1.258393
,2023-07-16,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.99682
,2023-07-17,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.827327
,2023-07-18,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.019347
,2023-07-19,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.384755
,2023-07-20,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.580376
,2023-07-21,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.118656
,2023-07-22,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.886755
,2023-07-23,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.683235
,2023-07-24,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,4.598196
,2023-07-25,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.121497
,2023-07-26,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,5.579102
,2023-07-27,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.094397
,2023-07-28,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,6.311529
,2023-07-29,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.964026
,2023-07-30,47382,CARPER CL 514,Consumidor Livre,NORDESTE,14.4,0.674929
