MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-11-01,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,2.061207
,2022-11-02,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,0.8958440000000001
,2022-11-03,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,3.334446
,2022-11-04,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,4.113859
,2022-11-05,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,3.532734
,2022-11-06,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.091612
,2022-11-07,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,3.821615
,2022-11-08,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,3.041089
,2022-11-09,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,3.002143
,2022-11-10,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,2.586018
,2022-11-11,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,2.145181
,2022-11-12,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.617327
,2022-11-13,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.007847
,2022-11-14,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.911323
,2022-11-15,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.173618
,2022-11-16,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.364104
,2022-11-17,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.293244
,2022-11-18,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,0.870371
,2022-11-19,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.434677
,2022-11-20,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,0.766516
,2022-11-21,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.55544
,2022-11-22,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.601179
,2022-11-23,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.981201
,2022-11-24,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.276925
,2022-11-25,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.254279
,2022-11-26,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,0.855128
,2022-11-27,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,0.731919
,2022-11-28,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,0.8873530000000001
,2022-11-29,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.51958
,2022-11-30,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.484207
,2022-12-01,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.140524
,2022-12-02,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.307964
,2022-12-03,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.624664
,2022-12-04,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,0.925031
,2022-12-05,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.121822
,2022-12-06,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.65758
,2022-12-07,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.670683
,2022-12-08,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.518787
,2022-12-09,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,1.322952
,2022-12-10,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,5.94469
,2022-12-11,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,15.196974
,2022-12-12,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,13.891443
,2022-12-13,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,8.092353
,2022-12-14,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,12.229108
,2022-12-15,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,12.402022
,2022-12-16,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,12.541277
,2022-12-17,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,13.103556
,2022-12-18,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,14.573182
,2022-12-19,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,6.175018000000001
,2022-12-20,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,6.64886
,2022-12-21,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,9.682641
,2022-12-22,38817.0,CAVALCA CAP,Consumidor Livre,SUL,39.6,7.742256
