MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,3.906853
,2022-01-02,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,8.46368
,2022-01-03,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,9.51029
,2022-01-04,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,9.797669
,2022-01-05,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,8.138357
,2022-01-06,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,11.24543
,2022-01-07,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,9.2453
,2022-01-08,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,10.108446
,2022-01-09,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,8.638705
,2022-01-10,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,9.46459
,2022-01-11,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,9.826603
,2022-01-12,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,10.125619
,2022-01-13,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,10.056967
,2022-01-14,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,9.84573
,2022-01-15,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,9.465174
,2022-01-16,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,7.956573
,2022-01-17,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,9.22666
,2022-01-18,93931.0,CAXIAS SHOPPING CENTER,Consumidor Especial,NORTE,36.0,10.118
