MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,0.819614
,2022-01-02,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,1.17727
,2022-01-03,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,2.691151
,2022-01-04,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,3.919873
,2022-01-05,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,4.185638
,2022-01-06,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,4.311449
,2022-01-07,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,4.279527
,2022-01-08,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,4.275519
,2022-01-09,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,3.5164
,2022-01-10,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,3.968029
,2022-01-11,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,3.759409
,2022-01-12,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,4.353948
,2022-01-13,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,4.282134
,2022-01-14,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,4.527866
,2022-01-15,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,4.449885
,2022-01-16,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,2.072185
,2022-01-17,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,3.940218
,2022-01-18,24027,CERAMICA NOVO HORIZONTE,Consumidor Especial,SUL,12.0,4.122943
