MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,1.601608
,2022-01-02,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,1.617139
,2022-01-03,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,4.290331
,2022-01-04,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,4.042865
,2022-01-05,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,3.930651
,2022-01-06,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,4.204441
,2022-01-07,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,3.825663
,2022-01-08,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,3.113156
,2022-01-09,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,1.653637
,2022-01-10,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,4.285402
,2022-01-11,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,4.012568
,2022-01-12,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,4.081864
,2022-01-13,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,4.468014
,2022-01-14,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,3.989515
,2022-01-15,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,3.278858
,2022-01-16,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,1.667378
,2022-01-17,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,4.227887
,2022-01-18,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,4.090099
,2022-01-19,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,3.851834
,2022-01-20,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,4.301204
,2022-01-21,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,3.960819
,2022-01-22,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,3.143924
,2022-01-23,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,1.668227
,2022-01-24,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,4.359368
,2022-01-25,24356.0,CERAMICA TF,Consumidor Especial,NORTE,12.0,4.067609
