MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,0.084913
,2023-01-02,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,0.209893
,2023-01-03,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,0.190089
,2023-01-04,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,0.535459
,2023-01-05,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,1.5870000000000002
,2023-01-06,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,1.862533
,2023-01-07,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,0.1298
,2023-01-08,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,0.085279
,2023-01-09,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,1.805129
,2023-01-10,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,2.035413
,2023-01-11,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,2.29038
,2023-01-12,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,2.201169
,2023-01-13,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,1.888164
,2023-01-14,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,1.50917
,2023-01-15,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,0.116381
,2023-01-16,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,2.203629
,2023-01-17,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,2.475505
,2023-01-18,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,1.878409
,2023-01-19,48274,CHROMA CONCEPT CL 514,Consumidor Livre,SUL,12.0,2.11156
