MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-05-01,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,347.723619
,2023-05-02,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,243.603573
,2023-05-03,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,252.981217
,2023-05-04,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,250.690644
,2023-05-05,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,282.585493
,2023-05-06,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,599.845169
,2023-05-07,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,580.844385
,2023-05-08,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,606.877927
,2023-05-09,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,676.351436
,2023-05-10,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,622.403435
,2023-05-11,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,779.487326
,2023-05-12,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,690.095149
,2023-05-13,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,813.888536
,2023-05-14,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,726.109278
,2023-05-15,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,743.522735
,2023-05-16,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,633.7714
,2023-05-17,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,613.012613
,2023-05-18,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,663.317533
,2023-05-19,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,712.600261
,2023-05-20,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,739.604504
,2023-05-21,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,758.769644
,2023-05-22,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,721.4946219999999
,2023-05-23,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,702.095049
,2023-05-24,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,626.12226
,2023-05-25,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,758.384175
,2023-05-26,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,688.457399
,2023-05-27,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,721.48633
,2023-05-28,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,725.937582
,2023-05-29,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,747.6112430000001
,2023-05-30,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,742.705327
,2023-05-31,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,682.667503
,2023-06-01,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,728.087201
,2023-06-02,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,665.306479
,2023-06-03,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,823.864189
,2023-06-04,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,799.488477
,2023-06-05,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,723.641734
,2023-06-06,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,725.120804
,2023-06-07,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,849.757013
,2023-06-08,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,977.621319
,2023-06-09,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,700.81299
,2023-06-10,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,861.524426
,2023-06-11,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,938.014254
,2023-06-12,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,792.469697
,2023-06-13,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,732.9331980000001
,2023-06-14,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,783.464487
,2023-06-15,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,824.044306
,2023-06-16,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,723.682555
,2023-06-17,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,850.963513
,2023-06-18,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,809.824044
,2023-06-19,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,763.285439
,2023-06-20,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,724.816241
,2023-06-21,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,910.84839
,2023-06-22,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,940.231239
,2023-06-23,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,949.175299
,2023-06-24,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,844.519369
,2023-06-25,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,943.030877
,2023-06-26,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,891.281065
,2023-06-27,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,815.555056
,2023-06-28,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,733.997396
,2023-06-29,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,887.993362
,2023-06-30,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,896.492387
,2023-07-01,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,852.159106
,2023-07-02,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,887.074202
,2023-07-03,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,872.48974
,2023-07-04,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,831.609563
,2023-07-05,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,766.0179880000001
,2023-07-06,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,937.629506
,2023-07-07,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,939.146156
,2023-07-08,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,855.372449
,2023-07-09,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,654.283278
,2023-07-10,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,853.221257
,2023-07-11,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,811.048862
,2023-07-12,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,681.409314
,2023-07-13,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,776.931915
,2023-07-14,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,894.683898
,2023-07-15,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,867.185434
,2023-07-16,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,901.197761
,2023-07-17,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,880.569618
,2023-07-18,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,775.038247
,2023-07-19,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,808.162277
,2023-07-20,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,914.759027
,2023-07-21,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,915.766158
,2023-07-22,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,938.788615
,2023-07-23,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,887.817685
,2023-07-24,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,894.529589
,2023-07-25,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,866.272786
,2023-07-26,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,780.854717
,2023-07-27,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,857.6921
,2023-07-28,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,881.969304
,2023-07-29,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,904.678713
,2023-07-30,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,936.913152
,2023-07-31,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,725.467147
,2023-08-01,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,809.628857
,2023-08-02,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,807.730482
,2023-08-03,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,898.542362
,2023-08-04,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,949.739231
,2023-08-05,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,972.091559
,2023-08-06,104723,CIME - ARCOS,Consumidor Livre,SUDESTE,1128.0,988.82263
