MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,64602,CIT69,Consumidor Livre,NORDESTE,96.0,6.932688
,2022-01-02,64602,CIT69,Consumidor Livre,NORDESTE,96.0,69.6391
,2022-01-03,64602,CIT69,Consumidor Livre,NORDESTE,96.0,90.458622
,2022-01-04,64602,CIT69,Consumidor Livre,NORDESTE,96.0,90.568955
,2022-01-05,64602,CIT69,Consumidor Livre,NORDESTE,96.0,93.227769
,2022-01-06,64602,CIT69,Consumidor Livre,NORDESTE,96.0,92.44969
,2022-01-07,64602,CIT69,Consumidor Livre,NORDESTE,96.0,94.35768
,2022-01-08,64602,CIT69,Consumidor Livre,NORDESTE,96.0,94.249905
,2022-01-09,64602,CIT69,Consumidor Livre,NORDESTE,96.0,90.515754
,2022-01-10,64602,CIT69,Consumidor Livre,NORDESTE,96.0,88.510442
,2022-01-11,64602,CIT69,Consumidor Livre,NORDESTE,96.0,90.702033
,2022-01-12,64602,CIT69,Consumidor Livre,NORDESTE,96.0,91.517777
,2022-01-13,64602,CIT69,Consumidor Livre,NORDESTE,96.0,91.771172
,2022-01-14,64602,CIT69,Consumidor Livre,NORDESTE,96.0,91.302083
,2022-01-15,64602,CIT69,Consumidor Livre,NORDESTE,96.0,92.102943
,2022-01-16,64602,CIT69,Consumidor Livre,NORDESTE,96.0,85.574619
,2022-01-17,64602,CIT69,Consumidor Livre,NORDESTE,96.0,89.170484
,2022-01-18,64602,CIT69,Consumidor Livre,NORDESTE,96.0,92.474533
,2022-01-19,64602,CIT69,Consumidor Livre,NORDESTE,96.0,94.391352
,2022-01-20,64602,CIT69,Consumidor Livre,NORDESTE,96.0,93.217808
,2022-01-21,64602,CIT69,Consumidor Livre,NORDESTE,96.0,94.409436
,2022-01-22,64602,CIT69,Consumidor Livre,NORDESTE,96.0,94.166576
,2022-01-23,64602,CIT69,Consumidor Livre,NORDESTE,96.0,85.245328
,2022-01-24,64602,CIT69,Consumidor Livre,NORDESTE,96.0,90.47312
,2022-01-25,64602,CIT69,Consumidor Livre,NORDESTE,96.0,93.645065
,2022-01-26,64602,CIT69,Consumidor Livre,NORDESTE,96.0,92.819323
,2022-01-27,64602,CIT69,Consumidor Livre,NORDESTE,96.0,91.009485
,2022-01-28,64602,CIT69,Consumidor Livre,NORDESTE,96.0,90.389728
,2022-01-29,64602,CIT69,Consumidor Livre,NORDESTE,96.0,92.319741
,2022-01-30,64602,CIT69,Consumidor Livre,NORDESTE,96.0,88.17254700000001
,2022-01-31,64602,CIT69,Consumidor Livre,NORDESTE,96.0,87.900004
,2022-02-01,64602,CIT69,Consumidor Livre,NORDESTE,96.0,92.236105
,2022-02-02,64602,CIT69,Consumidor Livre,NORDESTE,96.0,92.653842
,2022-02-03,64602,CIT69,Consumidor Livre,NORDESTE,96.0,89.566502
,2022-02-04,64602,CIT69,Consumidor Livre,NORDESTE,96.0,92.306395
