MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,0.576437
,2022-01-02,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,0.538689
,2022-01-03,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,0.671395
,2022-01-04,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,0.586966
,2022-01-05,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,0.563109
,2022-01-06,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,0.643069
,2022-01-07,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,0.860435
,2022-01-08,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,0.723553
,2022-01-09,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,2.351458
,2022-01-10,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,2.224316
,2022-01-11,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,1.730666
,2022-01-12,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,3.270355
,2022-01-13,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,5.036762
,2022-01-14,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,4.630621
,2022-01-15,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,6.228754
,2022-01-16,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,8.030971
,2022-01-17,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,5.9601880000000005
,2022-01-18,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,9.353004
,2022-01-19,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,10.369362
,2022-01-20,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,11.675902
,2022-01-21,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,12.226778
,2022-01-22,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,11.016589
,2022-01-23,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,9.903143
,2022-01-24,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,10.293447
,2022-01-25,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,9.596858
,2022-01-26,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,7.146784
,2022-01-27,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,11.412953
,2022-01-28,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,14.04606
,2022-01-29,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,11.595845
,2022-01-30,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,7.351559
,2022-01-31,25699.0,COFCO CARLINDA,Consumidor Especial,SUDESTE,22.8,4.900316
