MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-04-01,34274,COLORTECH,Consumidor Especial,NORTE,20.4,11.627905
,2022-04-02,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.975809
,2022-04-03,34274,COLORTECH,Consumidor Especial,NORTE,20.4,0.303273
,2022-04-04,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.133137
,2022-04-05,34274,COLORTECH,Consumidor Especial,NORTE,20.4,9.208763
,2022-04-06,34274,COLORTECH,Consumidor Especial,NORTE,20.4,11.842794
,2022-04-07,34274,COLORTECH,Consumidor Especial,NORTE,20.4,11.649217
,2022-04-08,34274,COLORTECH,Consumidor Especial,NORTE,20.4,11.759439
,2022-04-09,34274,COLORTECH,Consumidor Especial,NORTE,20.4,9.396024
,2022-04-10,34274,COLORTECH,Consumidor Especial,NORTE,20.4,0.4527299999999999
,2022-04-11,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.915954
,2022-04-12,34274,COLORTECH,Consumidor Especial,NORTE,20.4,4.112634
,2022-04-13,34274,COLORTECH,Consumidor Especial,NORTE,20.4,9.857717
,2022-04-14,34274,COLORTECH,Consumidor Especial,NORTE,20.4,9.512038
,2022-04-15,34274,COLORTECH,Consumidor Especial,NORTE,20.4,0.421109
,2022-04-16,34274,COLORTECH,Consumidor Especial,NORTE,20.4,9.287132
,2022-04-17,34274,COLORTECH,Consumidor Especial,NORTE,20.4,0.292925
,2022-04-18,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.002044
,2022-04-19,34274,COLORTECH,Consumidor Especial,NORTE,20.4,9.512168
,2022-04-20,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.300444
,2022-04-21,34274,COLORTECH,Consumidor Especial,NORTE,20.4,9.721796
,2022-04-22,34274,COLORTECH,Consumidor Especial,NORTE,20.4,9.912456
,2022-04-23,34274,COLORTECH,Consumidor Especial,NORTE,20.4,8.054891
,2022-04-24,34274,COLORTECH,Consumidor Especial,NORTE,20.4,0.412474
,2022-04-25,34274,COLORTECH,Consumidor Especial,NORTE,20.4,9.229392
,2022-04-26,34274,COLORTECH,Consumidor Especial,NORTE,20.4,9.902611
,2022-04-27,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.241345
,2022-04-28,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.123097
,2022-04-29,34274,COLORTECH,Consumidor Especial,NORTE,20.4,6.7790680000000005
,2022-04-30,34274,COLORTECH,Consumidor Especial,NORTE,20.4,0.488016
,2022-05-01,34274,COLORTECH,Consumidor Especial,NORTE,20.4,0.303069
,2022-05-02,34274,COLORTECH,Consumidor Especial,NORTE,20.4,9.103561
,2022-05-03,34274,COLORTECH,Consumidor Especial,NORTE,20.4,11.68349
,2022-05-04,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.78429
,2022-05-05,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.99199
,2022-05-06,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.631369
,2022-05-07,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.613569
,2022-05-08,34274,COLORTECH,Consumidor Especial,NORTE,20.4,0.65942
,2022-05-09,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.716439
,2022-05-10,34274,COLORTECH,Consumidor Especial,NORTE,20.4,11.971793
,2022-05-11,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.564513
,2022-05-12,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.520548
,2022-05-13,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.034309
,2022-05-14,34274,COLORTECH,Consumidor Especial,NORTE,20.4,7.37589
,2022-05-15,34274,COLORTECH,Consumidor Especial,NORTE,20.4,0.294457
,2022-05-16,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.644802
,2022-05-17,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.600547
,2022-05-18,34274,COLORTECH,Consumidor Especial,NORTE,20.4,11.161007
,2022-05-19,34274,COLORTECH,Consumidor Especial,NORTE,20.4,11.578398
,2022-05-20,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.67874
,2022-05-21,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.121013
,2022-05-22,34274,COLORTECH,Consumidor Especial,NORTE,20.4,0.312992
,2022-05-23,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.64748
,2022-05-24,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.915908
,2022-05-25,34274,COLORTECH,Consumidor Especial,NORTE,20.4,12.277875
,2022-05-26,34274,COLORTECH,Consumidor Especial,NORTE,20.4,11.500438
,2022-05-27,34274,COLORTECH,Consumidor Especial,NORTE,20.4,11.012609
,2022-05-28,34274,COLORTECH,Consumidor Especial,NORTE,20.4,9.699236
,2022-05-29,34274,COLORTECH,Consumidor Especial,NORTE,20.4,0.328266
,2022-05-30,34274,COLORTECH,Consumidor Especial,NORTE,20.4,11.998625
,2022-05-31,34274,COLORTECH,Consumidor Especial,NORTE,20.4,9.922355
,2022-06-01,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.100462
,2022-06-02,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.26595
,2022-06-03,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.825764
,2022-06-04,34274,COLORTECH,Consumidor Especial,NORTE,20.4,6.322515
,2022-06-05,34274,COLORTECH,Consumidor Especial,NORTE,20.4,0.27794
,2022-06-06,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.67577
,2022-06-07,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.653562
,2022-06-08,34274,COLORTECH,Consumidor Especial,NORTE,20.4,11.52634
,2022-06-09,34274,COLORTECH,Consumidor Especial,NORTE,20.4,10.644289
,2022-06-10,34274,COLORTECH,Consumidor Especial,NORTE,20.4,12.384133
,2022-06-11,34274,COLORTECH,Consumidor Especial,NORTE,20.4,11.442827
,2022-06-12,34274,COLORTECH,Consumidor Especial,NORTE,20.4,0.292282
