MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.155175
,2022-01-02,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.155459
,2022-01-03,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.325372
,2022-01-04,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.744291
,2022-01-05,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.056377
,2022-01-06,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.479519
,2022-01-07,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.45332
,2022-01-08,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.268513
,2022-01-09,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.509688
,2022-01-10,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.061272
,2022-01-11,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.904293
,2022-01-12,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.194788
,2022-01-13,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.68386
,2022-01-14,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.019072
,2022-01-15,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.555776
,2022-01-16,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.633402
,2022-01-17,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.155758
,2022-01-18,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.16801
,2022-01-19,30347.0,COMAN,Consumidor Especial,SUL,12.0,5.628436
,2022-01-20,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.529839
,2022-01-21,30347.0,COMAN,Consumidor Especial,SUL,12.0,4.95082
,2022-01-22,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.164946
,2022-01-23,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.428607
,2022-01-24,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.720583
,2022-01-25,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.053754
,2022-01-26,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.502937
,2022-01-27,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.079232
,2022-01-28,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.053328
,2022-01-29,30347.0,COMAN,Consumidor Especial,SUL,12.0,1.068195
,2022-01-30,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.403424
,2022-01-31,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.7282340000000005
,2022-02-01,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.272279
,2022-02-02,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.527635
,2022-02-03,30347.0,COMAN,Consumidor Especial,SUL,12.0,4.83233
,2022-02-04,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.02524
,2022-02-05,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.491486
,2022-02-06,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.445175
,2022-02-07,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.132658
,2022-02-08,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.991563
,2022-02-09,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.760021
,2022-02-10,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.432065
,2022-02-11,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.272404
,2022-02-12,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.463052
,2022-02-13,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.4789899999999999
,2022-02-14,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.193161
,2022-02-15,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.899157
,2022-02-16,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.037778
,2022-02-17,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.357127
,2022-02-18,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.764108999999999
,2022-02-19,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.6476810000000001
,2022-02-20,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.5713239999999999
,2022-02-21,30347.0,COMAN,Consumidor Especial,SUL,12.0,9.12209
,2022-02-22,30347.0,COMAN,Consumidor Especial,SUL,12.0,9.374821
,2022-02-23,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.337258
,2022-02-24,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.498129
,2022-02-25,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.398228
,2022-02-26,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.896223
,2022-02-27,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.637521
,2022-02-28,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.406089
,2022-03-01,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.423887
,2022-03-02,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.655827
,2022-03-03,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.178313
,2022-03-04,30347.0,COMAN,Consumidor Especial,SUL,12.0,5.570441
,2022-03-05,30347.0,COMAN,Consumidor Especial,SUL,12.0,1.159197
,2022-03-06,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.11411
,2022-03-07,30347.0,COMAN,Consumidor Especial,SUL,12.0,2.203278
,2022-03-08,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.512151
,2022-03-09,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.616219
,2022-03-10,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.66533
,2022-03-11,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.882284
,2022-03-12,30347.0,COMAN,Consumidor Especial,SUL,12.0,4.377296
,2022-03-13,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.588876
,2022-03-14,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.077435
,2022-03-15,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.810981
,2022-03-16,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.159856
,2022-03-17,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.832628
,2022-03-18,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.064532
,2022-03-19,30347.0,COMAN,Consumidor Especial,SUL,12.0,3.836798
,2022-03-20,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.942134
,2022-03-21,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.908927
,2022-03-22,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.031727
,2022-03-23,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.193594
,2022-03-24,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.168447
,2022-03-25,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.532629
,2022-03-26,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.301211
,2022-03-27,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.6098319999999999
,2022-03-28,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.728531
,2022-03-29,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.859824
,2022-03-30,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.383492
,2022-03-31,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.926642
,2022-04-01,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.879388
,2022-04-02,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.45517
,2022-04-03,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.570878
,2022-04-04,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.751356
,2022-04-05,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.317596
,2022-04-06,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.399697
,2022-04-07,30347.0,COMAN,Consumidor Especial,SUL,12.0,6.284489
,2022-04-08,30347.0,COMAN,Consumidor Especial,SUL,12.0,5.726346
,2022-04-09,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.304055
,2022-04-10,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.5697810000000001
,2022-04-11,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.087267
,2022-04-12,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.965501
,2022-04-13,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.764602
,2022-04-14,30347.0,COMAN,Consumidor Especial,SUL,12.0,7.356288
,2022-04-15,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.433621
,2022-04-16,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.220477
,2022-04-17,30347.0,COMAN,Consumidor Especial,SUL,12.0,0.5609569999999999
,2022-04-18,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.533946
,2022-04-19,30347.0,COMAN,Consumidor Especial,SUL,12.0,9.188089
,2022-04-20,30347.0,COMAN,Consumidor Especial,SUL,12.0,8.776182
