MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-09-01,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.6012710000000006
,2022-09-02,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.994592
,2022-09-03,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.226487
,2022-09-04,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,5.28622
,2022-09-05,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.351521
,2022-09-06,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.2631190000000005
,2022-09-07,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,5.958161
,2022-09-08,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.102785
,2022-09-09,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.416036
,2022-09-10,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,5.997645
,2022-09-11,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,4.181937
,2022-09-12,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,5.936562
,2022-09-13,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.646449
,2022-09-14,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.466654
,2022-09-15,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.535044
,2022-09-16,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.365319
,2022-09-17,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,5.807953
,2022-09-18,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,4.824064
,2022-09-19,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,5.789721
,2022-09-20,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.783532
,2022-09-21,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.626549
,2022-09-22,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.933933
,2022-09-23,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.767007
,2022-09-24,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,5.957267
,2022-09-25,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,5.554273
,2022-09-26,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,5.958343
,2022-09-27,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.625325
,2022-09-28,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.50264
,2022-09-29,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.761227
,2022-09-30,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.846853
,2022-10-01,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.385349
,2022-10-02,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,5.082707
,2022-10-03,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.495651
,2022-10-04,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.886258
,2022-10-05,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.90906
,2022-10-06,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,7.10475
,2022-10-07,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.912647
,2022-10-08,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.67386
,2022-10-09,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,5.807484
,2022-10-10,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.822807
,2022-10-11,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,7.38526
,2022-10-12,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.800688
,2022-10-13,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,7.145277
,2022-10-14,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,7.264352
,2022-10-15,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,6.246917
,2022-10-16,39218.0,CONDOMINIO PERDIZES,Consumidor Livre,SUDESTE,24.0,5.279355
