MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202403.0,2024-03-01,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,8.134584
202403.0,2024-03-02,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,8.335507
202403.0,2024-03-03,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.02542
202403.0,2024-03-04,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,8.49498
202403.0,2024-03-05,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,9.113186
202403.0,2024-03-06,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.999827
202403.0,2024-03-07,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.128483
202403.0,2024-03-08,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.158599
202403.0,2024-03-09,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,8.384757
202403.0,2024-03-10,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.581073
202403.0,2024-03-11,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.613769
202403.0,2024-03-12,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.897659
202403.0,2024-03-13,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,8.03535
202403.0,2024-03-14,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,8.259904
202403.0,2024-03-15,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.586919
202403.0,2024-03-16,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,8.792413
202403.0,2024-03-17,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.651452
202403.0,2024-03-18,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,8.179648
202403.0,2024-03-19,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,8.698524
202403.0,2024-03-20,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,9.275678
202403.0,2024-03-21,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,9.572175
202403.0,2024-03-22,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.78494
202403.0,2024-03-23,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,5.67665
202403.0,2024-03-24,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,5.542419
202403.0,2024-03-25,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,6.561891
202403.0,2024-03-26,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,5.758491
202403.0,2024-03-27,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,6.746109
202403.0,2024-03-28,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.366992
202403.0,2024-03-29,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,4.248551
202403.0,2024-03-30,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.626973
202403.0,2024-03-31,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,6.692185
202404.0,2024-04-01,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,6.167739
202404.0,2024-04-02,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.325515
202404.0,2024-04-03,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,8.223989
202404.0,2024-04-04,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.823098
202404.0,2024-04-05,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.143714
202404.0,2024-04-06,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.426785
202404.0,2024-04-07,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,6.492724
202404.0,2024-04-08,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.505692
202404.0,2024-04-09,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,8.148242
202404.0,2024-04-10,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.924868
202404.0,2024-04-11,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.741379
202404.0,2024-04-12,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.333175
202404.0,2024-04-13,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.068413
202404.0,2024-04-14,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,5.582188
202404.0,2024-04-15,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,6.510956
202404.0,2024-04-16,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,6.838943
202404.0,2024-04-17,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.802613
202404.0,2024-04-18,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,6.540231
202404.0,2024-04-19,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,6.038253
202404.0,2024-04-20,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,6.39075
202404.0,2024-04-21,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,5.1272530000000005
202404.0,2024-04-22,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,5.955791
202404.0,2024-04-23,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,6.270826
202404.0,2024-04-24,45762.0,COSTAZUL CL 514,Consumidor Livre,SUDESTE,12.96,7.05199
