MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.1518489999999999
,2022-01-02,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.154448
,2022-01-03,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.185193
,2022-01-04,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.148583
,2022-01-05,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.17492
,2022-01-06,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.158978
,2022-01-07,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.225161
,2022-01-08,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.163648
,2022-01-09,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.170068
,2022-01-10,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,2.501709
,2022-01-11,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,4.086051
,2022-01-12,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,3.815767
,2022-01-13,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,4.156054
,2022-01-14,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,3.284932
,2022-01-15,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.177325
,2022-01-16,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.154927
,2022-01-17,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.524784
,2022-01-18,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,2.935581
,2022-01-19,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,3.279868
,2022-01-20,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,2.352854
,2022-01-21,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,1.748711
,2022-01-22,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.16673
,2022-01-23,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.166607
,2022-01-24,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,2.546817
,2022-01-25,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,3.282716
,2022-01-26,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,1.084501
,2022-01-27,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.286052
,2022-01-28,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.168242
,2022-01-29,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.15852
,2022-01-30,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.168711
,2022-01-31,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,3.738396
,2022-02-01,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,4.842436
,2022-02-02,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,3.441507
,2022-02-03,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,3.593537
,2022-02-04,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,2.563345
,2022-02-05,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.155345
,2022-02-06,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,0.155876
,2022-02-07,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,1.839578
,2022-02-08,95925.0,DVM SOLAR CE,Consumidor Especial,NORTE,12.0,2.336232
