MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-12-01,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,10.332764
,2023-12-01,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,10.634003
,2023-12-01,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,55.592661
,2023-12-01,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,18.525762
,2023-12-02,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,16.552327
,2023-12-02,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,6.69635
,2023-12-02,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,47.637149
,2023-12-02,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,18.669279
,2023-12-03,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,10.113051
,2023-12-03,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,2.203028
,2023-12-03,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,20.541576
,2023-12-03,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,17.919939
,2023-12-04,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,10.418398
,2023-12-04,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,7.835035
,2023-12-04,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,52.622975
,2023-12-04,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,19.229952
,2023-12-05,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,15.148877
,2023-12-05,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,8.877787
,2023-12-05,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,68.094183
,2023-12-05,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,18.18557
,2023-12-06,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,15.516162
,2023-12-06,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,10.439013
,2023-12-06,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,80.885221
,2023-12-06,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,19.842343
,2023-12-07,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,10.713182
,2023-12-07,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,10.42973
,2023-12-07,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,78.309766
,2023-12-07,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,17.719346
,2023-12-08,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,14.536689
,2023-12-08,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,2.412392
,2023-12-08,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,79.97851299999999
,2023-12-08,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,17.682066
,2023-12-09,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,14.847299
,2023-12-09,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,1.055613
,2023-12-09,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,43.460033
,2023-12-09,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,17.702473
,2023-12-10,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,9.275441
,2023-12-10,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,1.397672
,2023-12-10,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,24.618202
,2023-12-10,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,10.74017
,2023-12-11,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,10.353638
,2023-12-11,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,9.03308
,2023-12-11,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,46.020403
,2023-12-11,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,10.58177
,2023-12-12,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,15.286464
,2023-12-12,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,10.897979
,2023-12-12,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,45.457508
,2023-12-12,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,19.629946
,2023-12-13,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,13.518296
,2023-12-13,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,10.201171
,2023-12-13,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,45.833736
,2023-12-13,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,18.341395
,2023-12-14,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,15.056443
,2023-12-14,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,10.534769
,2023-12-14,57065.0,ELNVI5 NESP,Comercializador,SUDESTE,137.76,48.775083
,2023-12-14,57065.0,ELNVI5 NESP,Comercializador,SUL,31.200000000000003,12.152565
,2023-12-15,57065.0,ELNVI5 NESP,Comercializador,NORDESTE,16.56,10.497528
,2023-12-15,57065.0,ELNVI5 NESP,Comercializador,NORTE,19.176,9.754475
