MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-10-01,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,0.357379
,2022-10-02,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,0.242781
,2022-10-03,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.271599
,2022-10-04,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.78493
,2022-10-05,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.89323
,2022-10-06,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.837433
,2022-10-07,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.916205
,2022-10-08,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.149704
,2022-10-09,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,1.205575
,2022-10-10,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.078724
,2022-10-11,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,1.493411
,2022-10-12,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,0.321123
,2022-10-13,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,0.403099
,2022-10-14,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,0.18692
,2022-10-15,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,0.139757
,2022-10-16,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,0.141108
,2022-10-17,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,1.869934
,2022-10-18,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.970622
,2022-10-19,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.997711
,2022-10-20,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,3.034134
,2022-10-21,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.251666
,2022-10-22,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,0.302198
,2022-10-23,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,0.200203
,2022-10-24,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.519866
,2022-10-25,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.989001
,2022-10-26,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.943821
,2022-10-27,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.605669
,2022-10-28,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,0.404704
,2022-10-29,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,0.331315
,2022-10-30,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,0.239073
,2022-10-31,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,1.058914
,2022-11-01,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,1.667096
,2022-11-02,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,3.17341
,2022-11-03,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.984496
,2022-11-04,41559,FANTIM,Consumidor Especial,SUDESTE,12.0,2.998173
