MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,4.558016
,2022-01-02,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,4.564999
,2022-01-03,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,20.796078
,2022-01-04,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,22.549552
,2022-01-05,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,22.949933
,2022-01-06,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,22.937368
,2022-01-07,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,23.251215
,2022-01-08,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,17.636179
,2022-01-09,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,10.343889
,2022-01-10,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,22.687732
,2022-01-11,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,26.717712
,2022-01-12,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,27.007246
,2022-01-13,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,27.371825
,2022-01-14,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,27.750261
,2022-01-15,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,18.86919
,2022-01-16,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,3.630097
,2022-01-17,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,24.789366
,2022-01-18,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,23.099574
,2022-01-19,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,24.536163
,2022-01-20,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,26.75371
,2022-01-21,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,26.817891
,2022-01-22,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,19.552871
,2022-01-23,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,8.015551
,2022-01-24,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,25.068349
,2022-01-25,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,28.548929
,2022-01-26,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.479075
,2022-01-27,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.225357
,2022-01-28,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,27.386709
,2022-01-29,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,19.856585
,2022-01-30,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,8.24037
,2022-01-31,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,26.275835
,2022-02-01,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,28.270042
,2022-02-02,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.624807
,2022-02-03,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.217177
,2022-02-04,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.453724
,2022-02-05,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,21.45447
,2022-02-06,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,10.364058
,2022-02-07,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,28.00076
,2022-02-08,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.170801
,2022-02-09,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.748259
,2022-02-10,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.721387
,2022-02-11,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.245539
,2022-02-12,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,20.49206
,2022-02-13,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,12.898788
,2022-02-14,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,28.61493
,2022-02-15,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.920029
,2022-02-16,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.216082
,2022-02-17,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.178714
,2022-02-18,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,28.569906
,2022-02-19,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,20.497639
,2022-02-20,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,10.359086
,2022-02-21,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.65979
,2022-02-22,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.658634
,2022-02-23,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.466748
,2022-02-24,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.043342
,2022-02-25,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.527596
,2022-02-26,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,21.336116
,2022-02-27,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,10.609415
,2022-02-28,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.387939
,2022-03-01,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.319269
,2022-03-02,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.509129
,2022-03-03,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.886901
,2022-03-04,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.752292
,2022-03-05,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,22.185
,2022-03-06,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,11.035269
,2022-03-07,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.003332
,2022-03-08,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.264266
,2022-03-09,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.547178
,2022-03-10,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.679547
,2022-03-11,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.560521
,2022-03-12,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,21.648807
,2022-03-13,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,13.652839
,2022-03-14,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.820293
,2022-03-15,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.86308
,2022-03-16,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.660917
,2022-03-17,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.606008000000003
,2022-03-18,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.67439
,2022-03-19,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,22.818624
,2022-03-20,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,17.028203
,2022-03-21,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.455872
,2022-03-22,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.17803
,2022-03-23,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.518833
,2022-03-24,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.728718
,2022-03-25,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.568587
,2022-03-26,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,22.914362
,2022-03-27,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,14.441068
,2022-03-28,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.447075
,2022-03-29,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.983985
,2022-03-30,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.861079
,2022-03-31,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.982471
,2022-04-01,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.953563
,2022-04-02,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,22.333404
,2022-04-03,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,14.837028
,2022-04-04,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.185676
,2022-04-05,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.012827
,2022-04-06,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.464487
,2022-04-07,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.946441
,2022-04-08,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.650358
,2022-04-09,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,21.232661
,2022-04-10,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,15.008315
,2022-04-11,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.588522
,2022-04-12,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.646639
,2022-04-13,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.510015
,2022-04-14,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,31.00063
,2022-04-15,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,20.339976
,2022-04-16,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,14.463256
,2022-04-17,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,4.9693380000000005
,2022-04-18,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.078487
,2022-04-19,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.121654
,2022-04-20,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.319415
,2022-04-21,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,22.967797
,2022-04-22,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,28.449554
,2022-04-23,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,16.191386
,2022-04-24,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,4.6729
,2022-04-25,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,27.664154
,2022-04-26,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.339979
,2022-04-27,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,30.186532
,2022-04-28,76154,FAURECIA LIMEIRA,Consumidor Especial,SUDESTE,36.0,29.509464
