MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,87080,FINILEATHER,Consumidor Especial,SUL,12.0,0.39238
,2022-01-02,87080,FINILEATHER,Consumidor Especial,SUL,12.0,0.399239
,2022-01-03,87080,FINILEATHER,Consumidor Especial,SUL,12.0,2.287625
,2022-01-04,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.151014
,2022-01-05,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.671115
,2022-01-06,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.679536
,2022-01-07,87080,FINILEATHER,Consumidor Especial,SUL,12.0,2.903541
,2022-01-08,87080,FINILEATHER,Consumidor Especial,SUL,12.0,0.522845
,2022-01-09,87080,FINILEATHER,Consumidor Especial,SUL,12.0,0.608635
,2022-01-10,87080,FINILEATHER,Consumidor Especial,SUL,12.0,1.500423
,2022-01-11,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.836105
,2022-01-12,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.729809
,2022-01-13,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.679338
,2022-01-14,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.043354
,2022-01-15,87080,FINILEATHER,Consumidor Especial,SUL,12.0,0.662079
,2022-01-16,87080,FINILEATHER,Consumidor Especial,SUL,12.0,0.635556
,2022-01-17,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.35472
,2022-01-18,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.763987
,2022-01-19,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.742058
,2022-01-20,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.805683
,2022-01-21,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.426912
,2022-01-22,87080,FINILEATHER,Consumidor Especial,SUL,12.0,1.449855
,2022-01-23,87080,FINILEATHER,Consumidor Especial,SUL,12.0,0.919921
,2022-01-24,87080,FINILEATHER,Consumidor Especial,SUL,12.0,4.041742
,2022-01-25,87080,FINILEATHER,Consumidor Especial,SUL,12.0,4.06608
,2022-01-26,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.847402
,2022-01-27,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.92976
,2022-01-28,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.174661
,2022-01-29,87080,FINILEATHER,Consumidor Especial,SUL,12.0,1.200811
,2022-01-30,87080,FINILEATHER,Consumidor Especial,SUL,12.0,0.487425
,2022-01-31,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.259902
,2022-02-01,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.550008
,2022-02-02,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.727066
,2022-02-03,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.683911
,2022-02-04,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.14391
,2022-02-05,87080,FINILEATHER,Consumidor Especial,SUL,12.0,0.562864
,2022-02-06,87080,FINILEATHER,Consumidor Especial,SUL,12.0,0.599723
,2022-02-07,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.787557
,2022-02-08,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.909108
,2022-02-09,87080,FINILEATHER,Consumidor Especial,SUL,12.0,4.349789
,2022-02-10,87080,FINILEATHER,Consumidor Especial,SUL,12.0,4.069163
,2022-02-11,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.569372
,2022-02-12,87080,FINILEATHER,Consumidor Especial,SUL,12.0,1.359108
,2022-02-13,87080,FINILEATHER,Consumidor Especial,SUL,12.0,0.5895090000000001
,2022-02-14,87080,FINILEATHER,Consumidor Especial,SUL,12.0,3.959609
,2022-02-15,87080,FINILEATHER,Consumidor Especial,SUL,12.0,4.272554
,2022-02-16,87080,FINILEATHER,Consumidor Especial,SUL,12.0,4.307665
