MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,86396,FORMATEC,Consumidor Especial,SUL,12.0,0.131546
,2022-01-02,86396,FORMATEC,Consumidor Especial,SUL,12.0,0.132536
,2022-01-03,86396,FORMATEC,Consumidor Especial,SUL,12.0,5.1960370000000005
,2022-01-04,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.465881
,2022-01-05,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.191865
,2022-01-06,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.951917
,2022-01-07,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.096597000000001
,2022-01-08,86396,FORMATEC,Consumidor Especial,SUL,12.0,2.797036
,2022-01-09,86396,FORMATEC,Consumidor Especial,SUL,12.0,0.324127
,2022-01-10,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.801037
,2022-01-11,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.905677
,2022-01-12,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.379475
,2022-01-13,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.728327
,2022-01-14,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.225804
,2022-01-15,86396,FORMATEC,Consumidor Especial,SUL,12.0,3.19998
,2022-01-16,86396,FORMATEC,Consumidor Especial,SUL,12.0,0.637845
,2022-01-17,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.905297
,2022-01-18,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.230114
,2022-01-19,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.367011
,2022-01-20,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.632228
,2022-01-21,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.658179
,2022-01-22,86396,FORMATEC,Consumidor Especial,SUL,12.0,4.054798
,2022-01-23,86396,FORMATEC,Consumidor Especial,SUL,12.0,0.563071
,2022-01-24,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.208602
,2022-01-25,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.138371
,2022-01-26,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.892161
,2022-01-27,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.234745
,2022-01-28,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.049924
,2022-01-29,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.918736
,2022-01-30,86396,FORMATEC,Consumidor Especial,SUL,12.0,1.491962
,2022-01-31,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.059998
,2022-02-01,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.258866
,2022-02-02,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.79362
,2022-02-03,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.114125
,2022-02-04,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.768688000000001
,2022-02-05,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.440691
,2022-02-06,86396,FORMATEC,Consumidor Especial,SUL,12.0,1.514278
,2022-02-07,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.623105
,2022-02-08,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.442574
,2022-02-09,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.786356
,2022-02-10,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.897066
,2022-02-11,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.877605
,2022-02-12,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.322099
,2022-02-13,86396,FORMATEC,Consumidor Especial,SUL,12.0,1.611836
,2022-02-14,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.911714
,2022-02-15,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.899052000000001
,2022-02-16,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.809971
,2022-02-17,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.832108
,2022-02-18,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.400389
,2022-02-19,86396,FORMATEC,Consumidor Especial,SUL,12.0,4.386786
,2022-02-20,86396,FORMATEC,Consumidor Especial,SUL,12.0,1.73828
,2022-02-21,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.718518
,2022-02-22,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.03459
,2022-02-23,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.656915
,2022-02-24,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.173696
,2022-02-25,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.018477
,2022-02-26,86396,FORMATEC,Consumidor Especial,SUL,12.0,3.955441
,2022-02-27,86396,FORMATEC,Consumidor Especial,SUL,12.0,0.204254
,2022-02-28,86396,FORMATEC,Consumidor Especial,SUL,12.0,5.907215
,2022-03-01,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.91886
,2022-03-02,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.570302
,2022-03-03,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.827419
,2022-03-04,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.189292
,2022-03-05,86396,FORMATEC,Consumidor Especial,SUL,12.0,5.89075
,2022-03-06,86396,FORMATEC,Consumidor Especial,SUL,12.0,1.735553
,2022-03-07,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.432588
,2022-03-08,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.507617
,2022-03-09,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.365256
,2022-03-10,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.952672
,2022-03-11,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.876119
,2022-03-12,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.595609
,2022-03-13,86396,FORMATEC,Consumidor Especial,SUL,12.0,0.275366
,2022-03-14,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.920465
,2022-03-15,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.901033
,2022-03-16,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.942903
,2022-03-17,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.282461
,2022-03-18,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.742027
,2022-03-19,86396,FORMATEC,Consumidor Especial,SUL,12.0,4.156942
,2022-03-20,86396,FORMATEC,Consumidor Especial,SUL,12.0,1.650121
,2022-03-21,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.540433
,2022-03-22,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.947868
,2022-03-23,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.338173
,2022-03-24,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.546403
,2022-03-25,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.282078
,2022-03-26,86396,FORMATEC,Consumidor Especial,SUL,12.0,5.47731
,2022-03-27,86396,FORMATEC,Consumidor Especial,SUL,12.0,2.380965
,2022-03-28,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.433084
,2022-03-29,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.659458
,2022-03-30,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.984077
,2022-03-31,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.417167
,2022-04-01,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.582666
,2022-04-02,86396,FORMATEC,Consumidor Especial,SUL,12.0,4.384508
,2022-04-03,86396,FORMATEC,Consumidor Especial,SUL,12.0,2.368202
,2022-04-04,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.469991
,2022-04-05,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.931241
,2022-04-06,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.239972
,2022-04-07,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.098728
,2022-04-08,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.84773
,2022-04-09,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.7720780000000005
,2022-04-10,86396,FORMATEC,Consumidor Especial,SUL,12.0,2.558428
,2022-04-11,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.805109
,2022-04-12,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.818536
,2022-04-13,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.682037
,2022-04-14,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.655184
,2022-04-15,86396,FORMATEC,Consumidor Especial,SUL,12.0,1.769353
,2022-04-16,86396,FORMATEC,Consumidor Especial,SUL,12.0,0.200905
,2022-04-17,86396,FORMATEC,Consumidor Especial,SUL,12.0,0.187966
,2022-04-18,86396,FORMATEC,Consumidor Especial,SUL,12.0,6.041283
,2022-04-19,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.308279
,2022-04-20,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.86064
,2022-04-21,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.421387999999999
,2022-04-22,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.729292
,2022-04-23,86396,FORMATEC,Consumidor Especial,SUL,12.0,3.191798
,2022-04-24,86396,FORMATEC,Consumidor Especial,SUL,12.0,0.24593
,2022-04-25,86396,FORMATEC,Consumidor Especial,SUL,12.0,1.325081
,2022-04-26,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.621304
,2022-04-27,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.697059
,2022-04-28,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.12702
,2022-04-29,86396,FORMATEC,Consumidor Especial,SUL,12.0,7.458031
,2022-04-30,86396,FORMATEC,Consumidor Especial,SUL,12.0,2.670268
,2022-05-01,86396,FORMATEC,Consumidor Especial,SUL,12.0,0.424248
,2022-05-02,86396,FORMATEC,Consumidor Especial,SUL,12.0,5.977305
,2022-05-03,86396,FORMATEC,Consumidor Especial,SUL,12.0,8.120661
