MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,8.741737
,2023-01-02,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,12.912177
,2023-01-03,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,13.864755
,2023-01-04,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,13.981176
,2023-01-05,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,15.168228
,2023-01-06,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,15.151846
,2023-01-07,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,11.268796
,2023-01-08,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,9.018053
,2023-01-09,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,12.845926
,2023-01-10,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,14.682004
,2023-01-11,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,14.374578
,2023-01-12,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,15.106758
,2023-01-13,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,15.983953
,2023-01-14,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,12.19109
,2023-01-15,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,8.116921
,2023-01-16,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,14.616257
,2023-01-17,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,15.831391
,2023-01-18,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,15.115784
,2023-01-19,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,14.269309
,2023-01-20,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,14.457495
,2023-01-21,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,14.032085
,2023-01-22,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,8.822245
,2023-01-23,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,14.572969
,2023-01-24,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,16.897019
,2023-01-25,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,17.921573000000002
,2023-01-26,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,17.522324
,2023-01-27,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,17.463565
,2023-01-28,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,15.014968
,2023-01-29,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,11.804378
,2023-01-30,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,15.268626
,2023-01-31,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,17.143974
,2023-02-01,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,17.580381
,2023-02-02,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,16.792458
,2023-02-03,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,18.057928
,2023-02-04,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,17.560953
,2023-02-05,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,14.589509
,2023-02-06,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,18.068875
,2023-02-07,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,19.923716
,2023-02-08,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,19.936841
,2023-02-09,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,19.367496
,2023-02-10,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,20.348405
,2023-02-11,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,17.734456
,2023-02-12,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,11.953129
,2023-02-13,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,15.7232
,2023-02-14,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,16.210376
,2023-02-15,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,14.879729
,2023-02-16,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,15.278987
,2023-02-17,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,13.913238
,2023-02-18,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,11.439356
,2023-02-19,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,7.343478
,2023-02-20,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,11.436263
,2023-02-21,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,12.812088
,2023-02-22,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,13.542345
,2023-02-23,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,12.851479
,2023-02-24,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,12.834101
,2023-02-25,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,8.864728
,2023-02-26,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,4.659471
,2023-02-27,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,8.103922
,2023-02-28,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,14.200442
,2023-03-01,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,15.390899
,2023-03-02,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,14.885991
,2023-03-03,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,15.261687
,2023-03-04,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,12.046736
,2023-03-05,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,7.075624
,2023-03-06,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,13.226337
,2023-03-07,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,13.914284
,2023-03-08,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,13.381828
,2023-03-09,44438.0,F AMERICANO AVINEL CL 514,Consumidor Livre,NORTE,22.8,14.804301
