MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202403.0,2024-03-01,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.734786
202403.0,2024-03-02,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.342235
202403.0,2024-03-03,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.451609
202403.0,2024-03-04,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.595029
202403.0,2024-03-05,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.645975
202403.0,2024-03-06,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.651077
202403.0,2024-03-07,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.284571
202403.0,2024-03-08,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.336252
202403.0,2024-03-09,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.836358
202403.0,2024-03-10,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.411672
202403.0,2024-03-11,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.181538
202403.0,2024-03-12,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.859555
202403.0,2024-03-13,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.852399
202403.0,2024-03-14,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.39656
202403.0,2024-03-15,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.715775
202403.0,2024-03-16,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,8.385016
202403.0,2024-03-17,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.925492
202403.0,2024-03-18,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.825015
202403.0,2024-03-19,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.633534
202403.0,2024-03-20,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,8.19548
202403.0,2024-03-21,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.83942
202403.0,2024-03-22,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.8781680000000005
202403.0,2024-03-23,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.1198630000000005
202403.0,2024-03-24,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,5.58794
202403.0,2024-03-25,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,5.869679
202403.0,2024-03-26,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,5.856921
202403.0,2024-03-27,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,5.86095
202403.0,2024-03-28,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,5.405075
202403.0,2024-03-29,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,5.911448
202403.0,2024-03-30,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.586251
202403.0,2024-03-31,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.170585
202404.0,2024-04-01,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,5.961061
202404.0,2024-04-02,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.80363
202404.0,2024-04-03,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.956032
202404.0,2024-04-04,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.852135
202404.0,2024-04-05,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.418287
202404.0,2024-04-06,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.227155
202404.0,2024-04-07,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.1917
202404.0,2024-04-08,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.853127
202404.0,2024-04-09,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.336761
202404.0,2024-04-10,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.960852
202404.0,2024-04-11,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,6.776563
202404.0,2024-04-12,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.194446
202404.0,2024-04-13,107351.0,GA SUPERMERCADOS,Consumidor Especial,SUDESTE,12.0,7.157648
