MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,4.369315
,2023-01-02,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,4.797488
,2023-01-03,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,4.065654
,2023-01-04,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,3.04358
,2023-01-05,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,3.895402
,2023-01-06,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,3.335102
,2023-01-07,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,4.122429
,2023-01-08,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,3.952414
,2023-01-09,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,3.820354
,2023-01-10,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,3.814691
,2023-01-11,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,3.909203
,2023-01-12,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,4.247465
,2023-01-13,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,4.405424
,2023-01-14,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,4.852136
,2023-01-15,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,4.316108
,2023-01-16,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,3.589772
,2023-01-17,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,3.16472
,2023-01-18,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,4.102416
,2023-01-19,50760,GELO BRASIL FLORIANOPOL CL 514,Consumidor Livre,SUL,12.0,4.030205
