MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,2.238549
,2022-01-02,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,2.608086
,2022-01-03,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,4.848566
,2022-01-04,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,7.578213
,2022-01-05,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,12.260478
,2022-01-06,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,15.501644
,2022-01-07,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,13.724818
,2022-01-08,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,15.493094
,2022-01-09,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,15.57641
,2022-01-10,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,14.998407
,2022-01-11,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,17.177377
,2022-01-12,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.129754
,2022-01-13,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.68782
,2022-01-14,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,20.615309
,2022-01-15,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.972099
,2022-01-16,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,20.457106
,2022-01-17,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,20.034097
,2022-01-18,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.595606
,2022-01-19,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,18.979382
,2022-01-20,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.210382
,2022-01-21,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,20.060055
,2022-01-22,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.943291
,2022-01-23,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,18.818084
,2022-01-24,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,20.484011
,2022-01-25,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,20.986096
,2022-01-26,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.71679
,2022-01-27,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,20.573664
,2022-01-28,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,20.535768
,2022-01-29,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.848377
,2022-01-30,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.653144
,2022-01-31,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,18.414368
,2022-02-01,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,18.769611
,2022-02-02,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.157878
,2022-02-03,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.476518
,2022-02-04,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.675902
,2022-02-05,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.568745
,2022-02-06,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.175344
,2022-02-07,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.122233
,2022-02-08,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,18.769608
,2022-02-09,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,18.713078
,2022-02-10,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,18.997385
,2022-02-11,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.602826
,2022-02-12,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,20.037927
,2022-02-13,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,20.044103
,2022-02-14,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,20.642047
,2022-02-15,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,20.341369
,2022-02-16,61908,GERRESHEIMER,Consumidor Especial,SUDESTE,21.6,19.909466
