MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,4.115197
,2022-01-02,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,3.987264
,2022-01-03,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,13.724216
,2022-01-04,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,14.97583
,2022-01-05,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,14.03767
,2022-01-06,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,19.48382
,2022-01-07,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,19.541507
,2022-01-08,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,10.657318
,2022-01-09,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,7.567296
,2022-01-10,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,51.1271
,2022-01-11,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,57.045386
,2022-01-12,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,59.447026
,2022-01-13,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,60.487703
,2022-01-14,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,61.967756
,2022-01-15,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,27.895933
,2022-01-16,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,13.569281
,2022-01-17,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,59.098433
,2022-01-18,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,60.768536
,2022-01-19,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,62.340695
,2022-01-20,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,61.242188
,2022-01-21,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,61.999138
,2022-01-22,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,33.212818
,2022-01-23,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,17.972985
,2022-01-24,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,59.558336
,2022-01-25,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,63.541384
,2022-01-26,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,63.276239
,2022-01-27,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,63.286498
,2022-01-28,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,64.368019
,2022-01-29,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,32.208368
,2022-01-30,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,17.180630999999998
,2022-01-31,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,60.276682
,2022-02-01,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,63.559887
,2022-02-02,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,61.392585
,2022-02-03,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,64.278691
,2022-02-04,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,62.305457
,2022-02-05,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,29.643719
,2022-02-06,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,20.15769
,2022-02-07,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,60.994103
,2022-02-08,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,63.407053
,2022-02-09,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,63.010684
,2022-02-10,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,64.06797
,2022-02-11,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,65.098964
,2022-02-12,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,31.152532
,2022-02-13,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,19.270548
,2022-02-14,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,63.204143
,2022-02-15,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,63.746221
,2022-02-16,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,64.456389
,2022-02-17,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,65.624345
,2022-02-18,71664.0,GRUPO SEB ITATIAIA CL,Consumidor Livre,SUDESTE,96.0,66.567826
