MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2024-01-01,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,1.575397
,2024-01-02,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,5.671262
,2024-01-03,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,5.9613570000000005
,2024-01-04,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,6.928075
,2024-01-05,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,5.477369
,2024-01-06,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,3.144065
,2024-01-07,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,2.202604
,2024-01-08,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,12.646407
,2024-01-09,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,14.803522
,2024-01-10,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,14.901072
,2024-01-11,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,14.785885
,2024-01-12,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,14.690656
,2024-01-13,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,12.418719
,2024-01-14,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,3.360111
,2024-01-15,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,15.178673
,2024-01-16,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,16.313242
,2024-01-17,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,16.703588
,2024-01-18,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,16.924422
,2024-01-19,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,17.037402
,2024-01-20,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,15.188247
,2024-01-21,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,4.310303
,2024-01-22,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,16.979262000000002
,2024-01-23,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,16.953704
,2024-01-24,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,17.342009
,2024-01-25,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,17.518915
,2024-01-26,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,15.963195
,2024-01-27,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,14.364974
,2024-01-28,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,2.989597
,2024-01-29,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,17.461241
,2024-01-30,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,18.451439
,2024-01-31,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,18.493199
,2024-02-01,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,15.956065
,2024-02-02,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,15.764948
,2024-02-03,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,14.864913
,2024-02-04,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,3.199269
,2024-02-05,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,18.358656
,2024-02-06,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,18.528031
,2024-02-07,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,18.284955
,2024-02-08,107213,HARMAN AMAZONIA,Consumidor Livre,NORTE,24.0,18.907287
