MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-10-01,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.503522
,2022-10-02,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,2.840134
,2022-10-03,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,2.627796
,2022-10-04,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,2.866583
,2022-10-05,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.356266
,2022-10-06,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.439475
,2022-10-07,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,4.1813270000000005
,2022-10-08,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.806858
,2022-10-09,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.685771
,2022-10-10,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.812261
,2022-10-11,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.754681
,2022-10-12,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.658212
,2022-10-13,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,2.58145
,2022-10-14,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.5613390000000003
,2022-10-15,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.621666
,2022-10-16,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.063498
,2022-10-17,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.137279
,2022-10-18,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.459736
,2022-10-19,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.292923
,2022-10-20,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.123726
,2022-10-21,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.490742
,2022-10-22,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.629077
,2022-10-23,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.009485
,2022-10-24,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.271286
,2022-10-25,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.089114
,2022-10-26,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.432135
,2022-10-27,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.615745
,2022-10-28,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.80909
,2022-10-29,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,2.776436
,2022-10-30,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,2.663635
,2022-10-31,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,2.795042
,2022-11-01,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,2.810853
,2022-11-02,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.189022
,2022-11-03,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.762583
,2022-11-04,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,4.413491
,2022-11-05,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.950809
,2022-11-06,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.757319
,2022-11-07,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.2603020000000003
,2022-11-08,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.877769
,2022-11-09,44158,HOTEL MANAIRA,Consumidor Especial,NORDESTE,12.0,3.729686
