MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202504.0,2025-04-01,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.8931
202504.0,2025-04-02,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.457015
202504.0,2025-04-03,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.297675
202504.0,2025-04-04,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,2.253305
202504.0,2025-04-05,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.505053
202504.0,2025-04-06,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.314008
202504.0,2025-04-07,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.708621
202504.0,2025-04-08,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.666472
202504.0,2025-04-09,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.716601
202504.0,2025-04-10,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,5.370334
202504.0,2025-04-11,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.604944
202504.0,2025-04-12,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.544414
202504.0,2025-04-13,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.338001
202504.0,2025-04-14,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.982581
202504.0,2025-04-15,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.491506
202504.0,2025-04-16,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,1.143837
202504.0,2025-04-17,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,5.113605
202504.0,2025-04-18,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.330611
202504.0,2025-04-19,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.321068
202504.0,2025-04-20,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.271763
202504.0,2025-04-21,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.26398
202504.0,2025-04-22,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.917096
202504.0,2025-04-23,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.367462
202504.0,2025-04-24,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.037054
202504.0,2025-04-25,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.121406
202504.0,2025-04-26,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,2.89934
202504.0,2025-04-27,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.138522
202504.0,2025-04-28,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.305095
202504.0,2025-04-29,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.847074
202504.0,2025-04-30,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.83472
202505.0,2025-05-01,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.240369
202505.0,2025-05-02,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.657999
202505.0,2025-05-03,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.501144
202505.0,2025-05-04,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.345169
202505.0,2025-05-05,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.044961
202505.0,2025-05-06,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.605131
202505.0,2025-05-07,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.559152
202505.0,2025-05-08,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.251524
202505.0,2025-05-09,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.020589
202505.0,2025-05-10,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.6297200000000001
202505.0,2025-05-11,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.294317
202505.0,2025-05-12,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.341802
202505.0,2025-05-13,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.875329
202505.0,2025-05-14,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.596052
202505.0,2025-05-15,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.833791
202505.0,2025-05-16,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.076957999999999
202505.0,2025-05-17,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.75998
202505.0,2025-05-18,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.331369
202505.0,2025-05-19,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.355297
202505.0,2025-05-20,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.448744
202505.0,2025-05-21,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.96776
202505.0,2025-05-22,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.604434
202505.0,2025-05-23,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,2.9795670000000003
202505.0,2025-05-24,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.467292
202505.0,2025-05-25,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.299242
202505.0,2025-05-26,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.934006
202505.0,2025-05-27,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.843839
202505.0,2025-05-28,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.809315
202505.0,2025-05-29,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.212704
202505.0,2025-05-30,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.586765
202505.0,2025-05-31,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,1.619744
202506.0,2025-06-01,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.297881
202506.0,2025-06-02,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.812614
202506.0,2025-06-03,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.429093
202506.0,2025-06-04,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,5.29554
202506.0,2025-06-05,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.005173
202506.0,2025-06-06,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.344963
202506.0,2025-06-07,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.450297
202506.0,2025-06-08,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.294064
202506.0,2025-06-09,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.157687
202506.0,2025-06-10,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.137742
202506.0,2025-06-11,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.937107
202506.0,2025-06-12,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.77237
202506.0,2025-06-13,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.3338730000000005
202506.0,2025-06-14,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.431333
202506.0,2025-06-15,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.269881
202506.0,2025-06-16,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.467045
202506.0,2025-06-17,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.4124360000000005
202506.0,2025-06-18,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,2.675489
202506.0,2025-06-19,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.310684
202506.0,2025-06-20,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,2.368579
202506.0,2025-06-21,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.051952
202506.0,2025-06-22,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.288354
202506.0,2025-06-23,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.5651720000000005
202506.0,2025-06-24,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,5.130731
202506.0,2025-06-25,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.751334
202506.0,2025-06-26,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.031332
202506.0,2025-06-27,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.772058
202506.0,2025-06-28,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.476528
202506.0,2025-06-29,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.29178
202506.0,2025-06-30,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,5.459169
202507.0,2025-07-01,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,5.41898
202507.0,2025-07-02,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,5.119192
202507.0,2025-07-03,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,2.69866
202507.0,2025-07-04,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,3.015775
202507.0,2025-07-05,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,4.006324
202507.0,2025-07-06,152644,IDEAL INFRAESTRUTURA,Consumidor Especial,SUDESTE,20.4,0.29418
