MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,62550.0,IMEC,Consumidor Especial,SUL,118.752,40.133537
,2022-01-02,62550.0,IMEC,Consumidor Especial,SUL,118.752,55.785347
,2022-01-03,62550.0,IMEC,Consumidor Especial,SUL,118.752,72.639738
,2022-01-04,62550.0,IMEC,Consumidor Especial,SUL,118.752,73.296917
,2022-01-05,62550.0,IMEC,Consumidor Especial,SUL,118.752,67.085831
,2022-01-06,62550.0,IMEC,Consumidor Especial,SUL,118.752,69.050136
,2022-01-07,62550.0,IMEC,Consumidor Especial,SUL,118.752,74.080585
,2022-01-08,62550.0,IMEC,Consumidor Especial,SUL,118.752,65.63472
,2022-01-09,62550.0,IMEC,Consumidor Especial,SUL,118.752,54.673084
,2022-01-10,62550.0,IMEC,Consumidor Especial,SUL,118.752,75.110859
,2022-01-11,62550.0,IMEC,Consumidor Especial,SUL,118.752,76.471442
,2022-01-12,62550.0,IMEC,Consumidor Especial,SUL,118.752,76.09409600000001
,2022-01-13,62550.0,IMEC,Consumidor Especial,SUL,118.752,78.981043
,2022-01-14,62550.0,IMEC,Consumidor Especial,SUL,118.752,81.898221
,2022-01-15,62550.0,IMEC,Consumidor Especial,SUL,118.752,77.976792
,2022-01-16,62550.0,IMEC,Consumidor Especial,SUL,118.752,65.50252
,2022-01-17,62550.0,IMEC,Consumidor Especial,SUL,118.752,83.588124
,2022-01-18,62550.0,IMEC,Consumidor Especial,SUL,118.752,79.335333
,2022-01-19,62550.0,IMEC,Consumidor Especial,SUL,118.752,86.402954
,2022-01-20,62550.0,IMEC,Consumidor Especial,SUL,118.752,86.908457
,2022-01-21,62550.0,IMEC,Consumidor Especial,SUL,118.752,86.617733
,2022-01-22,62550.0,IMEC,Consumidor Especial,SUL,118.752,84.246746
,2022-01-23,62550.0,IMEC,Consumidor Especial,SUL,118.752,65.167125
,2022-01-24,62550.0,IMEC,Consumidor Especial,SUL,118.752,81.290182
,2022-01-25,62550.0,IMEC,Consumidor Especial,SUL,118.752,84.806118
