MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,5.906244
,2023-01-02,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.339804
,2023-01-03,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.842094
,2023-01-04,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.197796
,2023-01-05,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.238521
,2023-01-06,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.170483
,2023-01-07,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.662153
,2023-01-08,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,5.981852
,2023-01-09,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.16813
,2023-01-10,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.080809
,2023-01-11,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.455595
,2023-01-12,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.587029
,2023-01-13,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.987873
,2023-01-14,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.73266
,2023-01-15,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.630241
,2023-01-16,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.858135
,2023-01-17,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.852652
,2023-01-18,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.480684
,2023-01-19,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.885637
,2023-01-20,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,10.101572
,2023-01-21,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.700091
,2023-01-22,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.418418
,2023-01-23,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.77536
,2023-01-24,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.055114
,2023-01-25,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.130398
,2023-01-26,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.680385
,2023-01-27,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.707769
,2023-01-28,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.345991
,2023-01-29,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.446822
,2023-01-30,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.171419
,2023-01-31,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.169689
,2023-02-01,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.249858
,2023-02-02,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.054881
,2023-02-03,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,5.861988
,2023-02-04,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.048453
,2023-02-05,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.776934
,2023-02-06,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.977574
,2023-02-07,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.020405
,2023-02-08,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.72275
,2023-02-09,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.974769
,2023-02-10,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.932466
,2023-02-11,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.679013
,2023-02-12,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.236192
,2023-02-13,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.814765
,2023-02-14,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.015275
,2023-02-15,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.408841
,2023-02-16,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.026999
,2023-02-17,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.152414
,2023-02-18,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.113621
,2023-02-19,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,5.189093
,2023-02-20,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.680765
,2023-02-21,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.742514
,2023-02-22,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.490716
,2023-02-23,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.15559
,2023-02-24,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.568826
,2023-02-25,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.052368
,2023-02-26,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,5.117667
,2023-02-27,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.312372
,2023-02-28,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.946079
,2023-03-01,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.493719
,2023-03-02,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.193432
,2023-03-03,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.471707
,2023-03-04,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.380748
,2023-03-05,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,5.735299
,2023-03-06,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.427446
,2023-03-07,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.885933
,2023-03-08,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.900078
,2023-03-09,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.10967
,2023-03-10,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.902929
,2023-03-11,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,5.933844
,2023-03-12,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,5.702188
,2023-03-13,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.795611
,2023-03-14,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,5.906266
,2023-03-15,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.604958
,2023-03-16,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.032346
,2023-03-17,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.752695
,2023-03-18,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.946425
,2023-03-19,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.496169
,2023-03-20,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.165347
,2023-03-21,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.934356
,2023-03-22,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.33024
,2023-03-23,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.747787
,2023-03-24,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.245599
,2023-03-25,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.677203
,2023-03-26,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,4.855615
,2023-03-27,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.627873
,2023-03-28,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.364108
,2023-03-29,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.043999
,2023-03-30,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.838695
,2023-03-31,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.982576
,2023-04-01,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.266478
,2023-04-02,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.622623
,2023-04-03,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.409032
,2023-04-04,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.595969
,2023-04-05,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.856654
,2023-04-06,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.018128
,2023-04-07,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.872422
,2023-04-08,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,5.93146
,2023-04-09,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.070112
,2023-04-10,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.590379
,2023-04-11,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.127889
,2023-04-12,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.919099
,2023-04-13,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.40954
,2023-04-14,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.142801
,2023-04-15,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.124162
,2023-04-16,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.991051
,2023-04-17,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.141345
,2023-04-18,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.279682
,2023-04-19,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.226452
,2023-04-20,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,8.943072
,2023-04-21,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.925904
,2023-04-22,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.840816
,2023-04-23,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,6.25103
,2023-04-24,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.592339
,2023-04-25,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.20461
,2023-04-26,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.340966
,2023-04-27,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.809502
,2023-04-28,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.921253
,2023-04-29,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.773787
,2023-04-30,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.30658
,2023-05-01,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,5.975537
,2023-05-02,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,7.79671
,2023-05-03,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,10.071928
,2023-05-04,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.680771
,2023-05-05,44985.0,INDUSPAN CL 514,Consumidor Livre,SUDESTE,18.96,9.845987
