MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,0.535535
,2022-01-02,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,0.51329
,2022-01-03,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,7.325765
,2022-01-04,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,12.889627
,2022-01-05,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,13.386089
,2022-01-06,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,16.257642
,2022-01-07,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,14.928445
,2022-01-08,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,13.888748
,2022-01-09,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,3.3992590000000003
,2022-01-10,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,9.794992
,2022-01-11,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,15.872844
,2022-01-12,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,16.198078
,2022-01-13,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,14.967482
,2022-01-14,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,15.446187
,2022-01-15,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,15.853763
,2022-01-16,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,8.329454
,2022-01-17,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,11.184025
,2022-01-18,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,16.086037
,2022-01-19,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.068791
,2022-01-20,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.158695
,2022-01-21,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.243117
,2022-01-22,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,16.36096
,2022-01-23,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,5.3545430000000005
,2022-01-24,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,13.944516
,2022-01-25,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.980425
,2022-01-26,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.469282
,2022-01-27,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.208083
,2022-01-28,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,18.946272
,2022-01-29,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.729278
,2022-01-30,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,6.780734
,2022-01-31,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,12.299469
,2022-02-01,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,16.242109
,2022-02-02,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.508735
,2022-02-03,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.899834
,2022-02-04,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.874302
,2022-02-05,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.164533
,2022-02-06,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,4.828438
,2022-02-07,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,13.962822
,2022-02-08,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.319839
,2022-02-09,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.857619
,2022-02-10,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,18.848543
,2022-02-11,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,19.41571
,2022-02-12,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,18.302101
,2022-02-13,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,4.69356
,2022-02-14,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,14.153523
,2022-02-15,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,18.827297
,2022-02-16,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.968304
,2022-02-17,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,16.94133
,2022-02-18,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.385704
,2022-02-19,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,16.243051
,2022-02-20,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,4.834303
,2022-02-21,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,13.308211
,2022-02-22,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,19.742882
,2022-02-23,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,19.814507
,2022-02-24,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,19.863785
,2022-02-25,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,18.53928
,2022-02-26,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,17.471392
,2022-02-27,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,4.299885
,2022-02-28,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,5.414065
,2022-03-01,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,18.316339
,2022-03-02,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,11.185045
,2022-03-03,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,19.75659
,2022-03-04,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,19.490132
,2022-03-05,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,18.801066
,2022-03-06,31420.0,INOPLAST CL 514,Consumidor Livre,NORDESTE,24.0,4.661367
