MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,7.599091
,2022-01-02,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,7.386957
,2022-01-03,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,13.003864
,2022-01-04,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.714213
,2022-01-05,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.841879
,2022-01-06,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,10.935677
,2022-01-07,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.537222
,2022-01-08,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,7.432569
,2022-01-09,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,6.726654
,2022-01-10,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.826029
,2022-01-11,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.839344
,2022-01-12,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.859801
,2022-01-13,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,13.383517
,2022-01-14,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.708245
,2022-01-15,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,8.56181
,2022-01-16,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,8.055165
,2022-01-17,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.932066
,2022-01-18,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.784435
,2022-01-19,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,13.625163
,2022-01-20,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,14.374751
,2022-01-21,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,13.169345
,2022-01-22,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,9.383704
,2022-01-23,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,8.07531
,2022-01-24,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.597123
,2022-01-25,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,14.074107
,2022-01-26,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,13.756491
,2022-01-27,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.285998
,2022-01-28,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.682845
,2022-01-29,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,7.939441
,2022-01-30,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,7.36716
,2022-01-31,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.927018
,2022-02-01,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,13.20567
,2022-02-02,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.957029
,2022-02-03,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,13.968298
,2022-02-04,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.453156
,2022-02-05,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,8.236324
,2022-02-06,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,7.233556
,2022-02-07,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.811365
,2022-02-08,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.090412
,2022-02-09,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.375887
,2022-02-10,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.616888
,2022-02-11,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.963786
,2022-02-12,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,8.414725
,2022-02-13,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,7.192571
,2022-02-14,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.811367
,2022-02-15,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.575598
,2022-02-16,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.712624
,2022-02-17,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.7419
,2022-02-18,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.629684
,2022-02-19,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,7.795318
,2022-02-20,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,7.41446
,2022-02-21,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.459192
,2022-02-22,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.722141
,2022-02-23,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.108018
,2022-02-24,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.827575
,2022-02-25,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,13.364785
,2022-02-26,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,8.882177
,2022-02-27,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,8.277422
,2022-02-28,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.518265
,2022-03-01,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.221041
,2022-03-02,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.627267
,2022-03-03,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.500772
,2022-03-04,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,13.18373
,2022-03-05,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,8.914577
,2022-03-06,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,7.454871
,2022-03-07,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.80512
,2022-03-08,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.67409
,2022-03-09,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,13.08546
,2022-03-10,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.913722
,2022-03-11,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.533817
,2022-03-12,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,7.256196
,2022-03-13,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,6.304468
,2022-03-14,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,10.854738
,2022-03-15,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.458847
,2022-03-16,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.694743
,2022-03-17,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.170924
,2022-03-18,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,12.055933
,2022-03-19,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,7.258451
,2022-03-20,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,6.239912
,2022-03-21,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,10.767001
,2022-03-22,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.964047
,2022-03-23,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.491337
,2022-03-24,62546.0,ITALIANINHO,Consumidor Especial,SUL,20.4,11.310288
