MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.007674
,2023-01-02,54851,ITALIANY CL S,Comercializador,SUL,12.0,3.634183
,2023-01-03,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.507213
,2023-01-04,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.065229
,2023-01-05,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.066316
,2023-01-06,54851,ITALIANY CL S,Comercializador,SUL,12.0,3.788666
,2023-01-07,54851,ITALIANY CL S,Comercializador,SUL,12.0,0.96327
,2023-01-08,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.084486
,2023-01-09,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.659336
,2023-01-10,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.200075
,2023-01-11,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.27622
,2023-01-12,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.573366
,2023-01-13,54851,ITALIANY CL S,Comercializador,SUL,12.0,3.828464
,2023-01-14,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.134812
,2023-01-15,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.146934
,2023-01-16,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.4312450000000005
,2023-01-17,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.432971
,2023-01-18,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.275516
,2023-01-19,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.362776
,2023-01-20,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.13835
,2023-01-21,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.232863
,2023-01-22,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.370704
,2023-01-23,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.373969
,2023-01-24,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.266809
,2023-01-25,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.558444
,2023-01-26,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.535519
,2023-01-27,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.118156
,2023-01-28,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.279287
,2023-01-29,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.29092
,2023-01-30,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.574005
,2023-01-31,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.901364
,2023-02-01,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.878151
,2023-02-02,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.104961
,2023-02-03,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.161498
,2023-02-04,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.140666
,2023-02-05,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.142427
,2023-02-06,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.360707
,2023-02-07,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.129675
,2023-02-08,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.171947
,2023-02-09,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.439608
,2023-02-10,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.174804
,2023-02-11,54851,ITALIANY CL S,Comercializador,SUL,12.0,3.230135
,2023-02-12,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.897726
,2023-02-13,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.977387
,2023-02-14,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.110463
,2023-02-15,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.855927
,2023-02-16,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.806747
,2023-02-17,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.604951
,2023-02-18,54851,ITALIANY CL S,Comercializador,SUL,12.0,2.484306
,2023-02-19,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.564205
,2023-02-20,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.673054
,2023-02-21,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.447855
,2023-02-22,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.770579
,2023-02-23,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.923322
,2023-02-24,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.054446
,2023-02-25,54851,ITALIANY CL S,Comercializador,SUL,12.0,0.980214
,2023-02-26,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.042413
,2023-02-27,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.482454
,2023-02-28,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.786995
,2023-03-01,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.115836
,2023-03-02,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.145516
,2023-03-03,54851,ITALIANY CL S,Comercializador,SUL,12.0,3.694317
,2023-03-04,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.144883
,2023-03-05,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.258736
,2023-03-06,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.006472
,2023-03-07,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.081391
,2023-03-08,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.38135
,2023-03-09,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.234458
,2023-03-10,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.448748
,2023-03-11,54851,ITALIANY CL S,Comercializador,SUL,12.0,2.441539
,2023-03-12,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.874663
,2023-03-13,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.817229
,2023-03-14,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.143823
,2023-03-15,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.044836
,2023-03-16,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.247152
,2023-03-17,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.020845
,2023-03-18,54851,ITALIANY CL S,Comercializador,SUL,12.0,3.269493
,2023-03-19,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.674294
,2023-03-20,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.029833
,2023-03-21,54851,ITALIANY CL S,Comercializador,SUL,12.0,5.085759
,2023-03-22,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.52221
,2023-03-23,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.454485
,2023-03-24,54851,ITALIANY CL S,Comercializador,SUL,12.0,3.988707
,2023-03-25,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.281187
,2023-03-26,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.399753
,2023-03-27,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.737953
,2023-03-28,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.492052
,2023-03-29,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.720341
,2023-03-30,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.522102
,2023-03-31,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.1103950000000005
,2023-04-01,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.137287
,2023-04-02,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.111439
,2023-04-03,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.296545
,2023-04-04,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.492581
,2023-04-05,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.388199
,2023-04-06,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.229137
,2023-04-07,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.889459
,2023-04-08,54851,ITALIANY CL S,Comercializador,SUL,12.0,0.744446
,2023-04-09,54851,ITALIANY CL S,Comercializador,SUL,12.0,0.659999
,2023-04-10,54851,ITALIANY CL S,Comercializador,SUL,12.0,3.207456
,2023-04-11,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.618799
,2023-04-12,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.614997
,2023-04-13,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.323986
,2023-04-14,54851,ITALIANY CL S,Comercializador,SUL,12.0,3.189835
,2023-04-15,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.148563
,2023-04-16,54851,ITALIANY CL S,Comercializador,SUL,12.0,1.090635
,2023-04-17,54851,ITALIANY CL S,Comercializador,SUL,12.0,4.354798
