MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-10-01,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.903467
,2022-10-02,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.017427
,2022-10-03,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.17283
,2022-10-04,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.622924
,2022-10-05,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.529457
,2022-10-06,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.945167
,2022-10-07,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.12432
,2022-10-08,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.21847
,2022-10-09,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.622219
,2022-10-10,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.513411
,2022-10-11,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.781125
,2022-10-12,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.36665
,2022-10-13,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.05435
,2022-10-14,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.119687
,2022-10-15,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.60614
,2022-10-16,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.409014
,2022-10-17,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.628847
,2022-10-18,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.077756
,2022-10-19,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.956011
,2022-10-20,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.134644
,2022-10-21,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.418315
,2022-10-22,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,3.757437
,2022-10-23,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,3.239433
,2022-10-24,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.563078
,2022-10-25,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.033341
,2022-10-26,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.980256
,2022-10-27,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.618196
,2022-10-28,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.412499
,2022-10-29,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,3.427826
,2022-10-30,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.315927
,2022-10-31,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.653057
,2022-11-01,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.941234
,2022-11-02,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.896151
,2022-11-03,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.684385
,2022-11-04,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.810595
,2022-11-05,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.220794
,2022-11-06,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.272165
,2022-11-07,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.187896
,2022-11-08,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.681945
,2022-11-09,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,1.786546
,2022-11-10,42843,ITANHANGA GOLF CLUB,Consumidor Especial,SUDESTE,12.0,2.096157
