MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.106978
,2022-01-02,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.110709
,2022-01-03,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,1.719135
,2022-01-04,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,1.823271
,2022-01-05,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,1.824852
,2022-01-06,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,2.79246
,2022-01-07,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,2.642434
,2022-01-08,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.523891
,2022-01-09,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.130519
,2022-01-10,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,1.208686
,2022-01-11,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.933345
,2022-01-12,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.26139
,2022-01-13,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.192447
,2022-01-14,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.165241
,2022-01-15,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.124896
,2022-01-16,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.116775
,2022-01-17,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.654459
,2022-01-18,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,2.539092
,2022-01-19,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,2.675856
,2022-01-20,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,2.632092
,2022-01-21,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.461714
,2022-01-22,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.109032
,2022-01-23,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.098071
,2022-01-24,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.332481
,2022-01-25,24325,ITAZUL,Consumidor Especial,NORDESTE,12.0,0.358739
