MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,0.530586
,2023-01-02,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,1.873523
,2023-01-03,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.387168
,2023-01-04,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.439087
,2023-01-05,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.429097
,2023-01-06,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.59498
,2023-01-07,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,1.394476
,2023-01-08,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,0.998224
,2023-01-09,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.318187
,2023-01-10,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.634879
,2023-01-11,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.441207
,2023-01-12,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.580044
,2023-01-13,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.228475
,2023-01-14,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,1.195096
,2023-01-15,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,0.927045
,2023-01-16,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,5.044939
,2023-01-17,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.694477
,2023-01-18,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.641564
,2023-01-19,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,3.823245
,2023-01-20,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.192997
,2023-01-21,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,1.420204
,2023-01-22,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,0.561865
,2023-01-23,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.068859
,2023-01-24,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.476519
,2023-01-25,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,5.021745
,2023-01-26,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.916839
,2023-01-27,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.626657
,2023-01-28,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,1.939404
,2023-01-29,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,1.367437
,2023-01-30,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.923732
,2023-01-31,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,5.219923
,2023-02-01,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.977528
,2023-02-02,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,5.258362
,2023-02-03,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,5.139068
,2023-02-04,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,1.78804
,2023-02-05,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,1.467197
,2023-02-06,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.612604
,2023-02-07,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.617451
,2023-02-08,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,5.426969
,2023-02-09,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,5.776262
,2023-02-10,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,6.584453
,2023-02-11,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,3.91542
,2023-02-12,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,1.784064
,2023-02-13,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,5.982164
,2023-02-14,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,6.706822
,2023-02-15,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,5.999864
,2023-02-16,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,5.567622
,2023-02-17,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,5.539526
,2023-02-18,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,2.478453
,2023-02-19,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,1.787744
,2023-02-20,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.566483
,2023-02-21,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,3.974954
,2023-02-22,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.39872
,2023-02-23,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.894752
,2023-02-24,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.915535
,2023-02-25,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,2.222617
,2023-02-26,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,1.666965
,2023-02-27,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.994473
,2023-02-28,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.881859
,2023-03-01,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.792517
,2023-03-02,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.798781
,2023-03-03,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.253145
,2023-03-04,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,2.138498
,2023-03-05,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,1.411909
,2023-03-06,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.842519
,2023-03-07,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.366332
,2023-03-08,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.502732
,2023-03-09,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.866472
,2023-03-10,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.988873
,2023-03-11,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,3.060252
,2023-03-12,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,2.076821
,2023-03-13,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.616687
,2023-03-14,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.310732
,2023-03-15,46792,KENERSON CL 514,Consumidor Livre,NORTE,12.0,4.412584
