MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-02-01,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.2804720000000005
,2023-02-02,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.421481
,2023-02-03,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.124851
,2023-02-04,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,5.679556
,2023-02-05,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,5.827706
,2023-02-06,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.249549
,2023-02-07,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.233632
,2023-02-08,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.3745650000000005
,2023-02-09,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.469908
,2023-02-10,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.390205
,2023-02-11,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,5.98539
,2023-02-12,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,5.75379
,2023-02-13,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.139118
,2023-02-14,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.319453
,2023-02-15,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.278245
,2023-02-16,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.436829
,2023-02-17,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.433746
,2023-02-18,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.085916
,2023-02-19,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.166877
,2023-02-20,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.372635
,2023-02-21,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.68879
,2023-02-22,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.748877
,2023-02-23,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.948822
,2023-02-24,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.570819
,2023-02-25,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.160884
,2023-02-26,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,4.573413
,2023-02-27,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,5.549363
,2023-02-28,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.336751
,2023-03-01,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.206965
,2023-03-02,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.919476
,2023-03-03,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.845543
,2023-03-04,43620.0,LATASA GARIMPEIRO,Consumidor Livre,SUDESTE,19.200000000000003,6.405827
