MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202506.0,2025-06-01,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,0.867417
202506.0,2025-06-02,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.59204
202506.0,2025-06-03,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,5.05391
202506.0,2025-06-04,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.012057
202506.0,2025-06-05,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,5.302214
202506.0,2025-06-06,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.002475
202506.0,2025-06-07,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,2.570924
202506.0,2025-06-08,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,1.820156
202506.0,2025-06-09,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.130246
202506.0,2025-06-10,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.089137
202506.0,2025-06-11,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,3.586809
202506.0,2025-06-12,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,6.098025
202506.0,2025-06-13,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,5.644367
202506.0,2025-06-14,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.055365
202506.0,2025-06-15,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,0.492439
202506.0,2025-06-16,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.694256
202506.0,2025-06-17,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,5.719985
202506.0,2025-06-18,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,5.408605
202506.0,2025-06-19,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,1.559268
202506.0,2025-06-20,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,6.553714
202506.0,2025-06-21,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,3.747676
202506.0,2025-06-22,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,0.6004700000000001
202506.0,2025-06-23,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,6.114179
202506.0,2025-06-24,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,5.797762
202506.0,2025-06-25,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,5.85497
202506.0,2025-06-26,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,5.341999
202506.0,2025-06-27,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,5.446021
202506.0,2025-06-28,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.858062
202506.0,2025-06-29,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,1.510441
202506.0,2025-06-30,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,5.441985
202507.0,2025-07-01,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,5.010765
202507.0,2025-07-02,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,5.113182
202507.0,2025-07-03,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,5.452331
202507.0,2025-07-04,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.933075
202507.0,2025-07-05,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,1.629275
202507.0,2025-07-06,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,0.5431090000000001
202507.0,2025-07-07,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.83297
202507.0,2025-07-08,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.968885
202507.0,2025-07-09,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.9068
202507.0,2025-07-10,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.637981
202507.0,2025-07-11,177421.0,MADEIRAS NILE ATC,Consumidor Especial,SUL,12.0,4.119301
