MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-04-01,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.476598
,2022-04-02,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.122819
,2022-04-03,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.042318
,2022-04-04,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.4789560000000002
,2022-04-05,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.145074
,2022-04-06,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.694224
,2022-04-07,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.275454
,2022-04-08,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.256995
,2022-04-09,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.04608
,2022-04-10,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.046266
,2022-04-11,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.367286
,2022-04-12,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.833821
,2022-04-13,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.654198
,2022-04-14,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,2.18573
,2022-04-15,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.136517
,2022-04-16,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.060819
,2022-04-17,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.04551
,2022-04-18,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.396695
,2022-04-19,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.471969
,2022-04-20,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.621912
,2022-04-21,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.273877
,2022-04-22,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.626964
,2022-04-23,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.064929
,2022-04-24,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.044498
,2022-04-25,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.306783
,2022-04-26,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.478728
,2022-04-27,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.471337
,2022-04-28,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.500562
,2022-04-29,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.59196
,2022-04-30,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.0455039999999999
,2022-05-01,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.042629
,2022-05-02,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.841749
,2022-05-03,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.73476
,2022-05-04,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.0704
,2022-05-05,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.189993
,2022-05-06,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.522102
,2022-05-07,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.994585
,2022-05-08,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.049933
,2022-05-09,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.714771
,2022-05-10,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.306492
,2022-05-11,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.391399
,2022-05-12,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.424348
,2022-05-13,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.283084
,2022-05-14,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.042337
,2022-05-15,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.044175
,2022-05-16,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.226196
,2022-05-17,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.256754
,2022-05-18,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.191175
,2022-05-19,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.1224
,2022-05-20,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.282768
,2022-05-21,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.040415
,2022-05-22,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.040868
,2022-05-23,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.949526
,2022-05-24,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.267817
,2022-05-25,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.486461
,2022-05-26,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.997683
,2022-05-27,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.104181
,2022-05-28,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.070717
,2022-05-29,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.058635
,2022-05-30,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.556221
,2022-05-31,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.250142
,2022-06-01,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.317885
,2022-06-02,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.815777
,2022-06-03,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.201752
,2022-06-04,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.039228
,2022-06-05,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.044488
,2022-06-06,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.103905
,2022-06-07,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.420212
,2022-06-08,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.804677
,2022-06-09,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.269735
,2022-06-10,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.39524
,2022-06-11,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.040672
,2022-06-12,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.047633
,2022-06-13,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.096355
,2022-06-14,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.311075
,2022-06-15,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.21117
,2022-06-16,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.265072
,2022-06-17,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.519077
,2022-06-18,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.071058
,2022-06-19,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.041511
,2022-06-20,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.544046
,2022-06-21,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.602313
,2022-06-22,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.400117
,2022-06-23,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,1.183534
,2022-06-24,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.103843
,2022-06-25,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.042132
,2022-06-26,38852,MAJESTADE RACAO,Consumidor Especial,SUL,7.199999999999999,0.040547
