MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.181064
,2023-01-02,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.556635
,2023-01-03,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.235692
,2023-01-04,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.553746
,2023-01-05,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.510673
,2023-01-06,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,1.999211
,2023-01-07,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.173394
,2023-01-08,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.449044
,2023-01-09,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,3.337584
,2023-01-10,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,3.266035
,2023-01-11,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,3.303194
,2023-01-12,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,1.821488
,2023-01-13,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,1.350923
,2023-01-14,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.1877
,2023-01-15,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.353506
,2023-01-16,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,3.001393
,2023-01-17,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.368317
,2023-01-18,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.735197
,2023-01-19,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.64271
,2023-01-20,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.753273
,2023-01-21,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.349668
,2023-01-22,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.558118
,2023-01-23,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.631176
,2023-01-24,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.57107
,2023-01-25,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,3.299839
,2023-01-26,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,3.246381
,2023-01-27,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.757658
,2023-01-28,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.196442
,2023-01-29,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.5746
,2023-01-30,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,3.198152
,2023-01-31,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,1.438772
,2023-02-01,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,1.421819
,2023-02-02,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.407775
,2023-02-03,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.052289
,2023-02-04,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.192654
,2023-02-05,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.568364
,2023-02-06,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.571881
,2023-02-07,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.046122
,2023-02-08,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,1.637056
,2023-02-09,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,3.20136
,2023-02-10,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.480171
,2023-02-11,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.687791
,2023-02-12,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,0.446122
,2023-02-13,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.465254
,2023-02-14,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.279969
,2023-02-15,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.519587
,2023-02-16,43945.0,MARIO RAZZERA CL,Consumidor Livre,SUL,12.0,2.04119
