MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,0.711113
,2023-01-02,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,0.862786
,2023-01-03,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,1.304736
,2023-01-04,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,1.241592
,2023-01-05,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,1.279483
,2023-01-06,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,1.255666
,2023-01-07,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,0.888727
,2023-01-08,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,0.7903709999999999
,2023-01-09,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,1.806201
,2023-01-10,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.0431
,2023-01-11,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.195113
,2023-01-12,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.177025
,2023-01-13,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.260011
,2023-01-14,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,1.328814
,2023-01-15,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,1.016126
,2023-01-16,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.122019
,2023-01-17,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.130929
,2023-01-18,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.571029
,2023-01-19,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.679645
,2023-01-20,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.671008
,2023-01-21,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,1.3382960000000002
,2023-01-22,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,0.962097
,2023-01-23,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.654264
,2023-01-24,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.752361
,2023-01-25,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.590929
,2023-01-26,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.501962
,2023-01-27,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.363022
,2023-01-28,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,1.191406
,2023-01-29,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,0.964763
,2023-01-30,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.489774
,2023-01-31,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.695835
,2023-02-01,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.736918
,2023-02-02,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.689688
,2023-02-03,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.678018
,2023-02-04,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,1.178824
,2023-02-05,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,0.938097
,2023-02-06,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.608388
,2023-02-07,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.593886
,2023-02-08,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.655718
,2023-02-09,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.665914
,2023-02-10,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.427473
,2023-02-11,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,1.29819
,2023-02-12,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,0.919988
,2023-02-13,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.720982
,2023-02-14,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.776485
,2023-02-15,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.609891
,2023-02-16,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.551892
,2023-02-17,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.229506
,2023-02-18,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,1.192069
,2023-02-19,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,0.892259
,2023-02-20,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.299543
,2023-02-21,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.287013
,2023-02-22,53725,MATRITEC CL 514,Consumidor Livre,SUL,12.0,2.469258
