MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,24086,MG TIRES,Consumidor Especial,SUL,12.0,0.326442
,2022-01-02,24086,MG TIRES,Consumidor Especial,SUL,12.0,0.319253
,2022-01-03,24086,MG TIRES,Consumidor Especial,SUL,12.0,0.39951
,2022-01-04,24086,MG TIRES,Consumidor Especial,SUL,12.0,0.441919
,2022-01-05,24086,MG TIRES,Consumidor Especial,SUL,12.0,0.442971
,2022-01-06,24086,MG TIRES,Consumidor Especial,SUL,12.0,0.637514
,2022-01-07,24086,MG TIRES,Consumidor Especial,SUL,12.0,0.7373850000000001
,2022-01-08,24086,MG TIRES,Consumidor Especial,SUL,12.0,0.279404
,2022-01-09,24086,MG TIRES,Consumidor Especial,SUL,12.0,0.4234
,2022-01-10,24086,MG TIRES,Consumidor Especial,SUL,12.0,1.725173
,2022-01-11,24086,MG TIRES,Consumidor Especial,SUL,12.0,2.16598
,2022-01-12,24086,MG TIRES,Consumidor Especial,SUL,12.0,2.692182
,2022-01-13,24086,MG TIRES,Consumidor Especial,SUL,12.0,3.972
,2022-01-14,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.595936
,2022-01-15,24086,MG TIRES,Consumidor Especial,SUL,12.0,3.765263
,2022-01-16,24086,MG TIRES,Consumidor Especial,SUL,12.0,2.183739
,2022-01-17,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.369102
,2022-01-18,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.178979
,2022-01-19,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.11966
,2022-01-20,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.489049
,2022-01-21,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.382551
,2022-01-22,24086,MG TIRES,Consumidor Especial,SUL,12.0,2.920711
,2022-01-23,24086,MG TIRES,Consumidor Especial,SUL,12.0,0.806043
,2022-01-24,24086,MG TIRES,Consumidor Especial,SUL,12.0,3.982065
,2022-01-25,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.306894
,2022-01-26,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.109268
,2022-01-27,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.409965
,2022-01-28,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.971441
,2022-01-29,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.129907
,2022-01-30,24086,MG TIRES,Consumidor Especial,SUL,12.0,1.457468
,2022-01-31,24086,MG TIRES,Consumidor Especial,SUL,12.0,3.830733
,2022-02-01,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.07696
,2022-02-02,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.040984
,2022-02-03,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.428325
,2022-02-04,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.340855
,2022-02-05,24086,MG TIRES,Consumidor Especial,SUL,12.0,3.997687
,2022-02-06,24086,MG TIRES,Consumidor Especial,SUL,12.0,1.827705
,2022-02-07,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.330044
,2022-02-08,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.406607
,2022-02-09,24086,MG TIRES,Consumidor Especial,SUL,12.0,4.983614
,2022-02-10,24086,MG TIRES,Consumidor Especial,SUL,12.0,5.314938
