MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202501.0,2025-01-01,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,4.070474
202501.0,2025-01-02,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,3.314612
202501.0,2025-01-03,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,2.856304
202501.0,2025-01-04,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,1.548839
202501.0,2025-01-05,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,4.049588
202501.0,2025-01-06,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,3.598049
202501.0,2025-01-07,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,3.789064
202501.0,2025-01-08,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,4.264283
202501.0,2025-01-09,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,3.432515
202501.0,2025-01-10,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,3.439477
202501.0,2025-01-11,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,3.902719
202501.0,2025-01-12,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,4.045949
202501.0,2025-01-13,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,4.36412
202501.0,2025-01-14,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,4.465445
202501.0,2025-01-15,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,4.3792860000000005
202501.0,2025-01-16,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,3.591558
202501.0,2025-01-17,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,2.603096
202501.0,2025-01-18,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,4.264916
202501.0,2025-01-19,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,4.105135
202501.0,2025-01-20,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,4.284389
202501.0,2025-01-21,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,4.135242
202501.0,2025-01-22,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,4.198321
202501.0,2025-01-23,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,4.034055
202501.0,2025-01-24,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,2.049124
202501.0,2025-01-25,162883,MILFONTES ATACADO,Consumidor Livre,NORDESTE,12.0,3.822869
