MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,2.180074
,2022-01-02,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,2.187293
,2022-01-03,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,3.873576
,2022-01-04,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,4.136934
,2022-01-05,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,4.266639
,2022-01-06,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,4.875225
,2022-01-07,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,4.357484
,2022-01-08,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,1.888703
,2022-01-09,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,2.263554
,2022-01-10,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,5.898726
,2022-01-11,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,7.537437
,2022-01-12,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,7.539121
,2022-01-13,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,7.475516
,2022-01-14,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,6.871134
,2022-01-15,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,3.289388
,2022-01-16,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,2.281686
,2022-01-17,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,6.63629
,2022-01-18,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,6.019378
,2022-01-19,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,7.149317
,2022-01-20,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,7.589825
,2022-01-21,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,7.283317
,2022-01-22,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,4.306044
,2022-01-23,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,2.270219
,2022-01-24,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.060997
,2022-01-25,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.876009
,2022-01-26,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,8.708175
,2022-01-27,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,8.633548
,2022-01-28,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,7.377231
,2022-01-29,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,4.226746
,2022-01-30,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,2.274237
,2022-01-31,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,7.808188
,2022-02-01,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,8.031343
,2022-02-02,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.060347
,2022-02-03,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,8.96311
,2022-02-04,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,8.066156
,2022-02-05,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,3.503737
,2022-02-06,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,2.540149
,2022-02-07,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,8.163146
,2022-02-08,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.617166
,2022-02-09,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,8.801122
,2022-02-10,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.508534
,2022-02-11,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,10.211427
,2022-02-12,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,4.413212
,2022-02-13,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,2.392326
,2022-02-14,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,8.617973
,2022-02-15,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,10.078822
,2022-02-16,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.627063
,2022-02-17,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.345877
,2022-02-18,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,8.928537
,2022-02-19,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,3.946058
,2022-02-20,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,2.475125
,2022-02-21,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.629541
,2022-02-22,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.804527
,2022-02-23,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,8.9822
,2022-02-24,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,8.87784
,2022-02-25,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.25914
,2022-02-26,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,5.215127
,2022-02-27,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,2.906782
,2022-02-28,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.129704
,2022-03-01,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.573231
,2022-03-02,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.479429
,2022-03-03,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.76129
,2022-03-04,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.250632
,2022-03-05,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,3.09269
,2022-03-06,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,2.78323
,2022-03-07,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.137665
,2022-03-08,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.767469
,2022-03-09,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.764709
,2022-03-10,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.969155
,2022-03-11,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.340201
,2022-03-12,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,5.249044
,2022-03-13,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,2.610234
,2022-03-14,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.633673
,2022-03-15,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,10.378553
,2022-03-16,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,10.40987
,2022-03-17,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,10.564118
,2022-03-18,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,10.058159
,2022-03-19,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,5.673099
,2022-03-20,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,2.664665
,2022-03-21,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,8.967132
,2022-03-22,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,10.126324
,2022-03-23,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.132158
,2022-03-24,59137.0,MK QUIMICA,Consumidor Especial,SUL,21.6,9.59083
