MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-02,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-03,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-04,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-05,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-06,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-07,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-08,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-09,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-10,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-11,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-12,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-13,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-14,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-15,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-16,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-17,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-18,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-19,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-20,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-21,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-22,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-23,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
,2022-01-24,61912,MORGANITE,Consumidor Especial,SUDESTE,4.08,0.0
