MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,0.17185
,2023-01-02,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,0.599491
,2023-01-03,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,5.917697
,2023-01-04,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,8.367865
,2023-01-05,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,9.140955
,2023-01-06,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,7.958963
,2023-01-07,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,2.121513
,2023-01-08,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,0.116492
,2023-01-09,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,7.941852
,2023-01-10,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,10.99422
,2023-01-11,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,11.003112
,2023-01-12,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,10.900926
,2023-01-13,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,9.903209
,2023-01-14,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,9.986431
,2023-01-15,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,5.994702
,2023-01-16,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,9.993041
,2023-01-17,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,10.512827
,2023-01-18,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,10.674199
,2023-01-19,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,10.195964
,2023-01-20,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,10.494386
,2023-01-21,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,10.201438
,2023-01-22,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,5.839308
,2023-01-23,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,10.787626
,2023-01-24,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,13.304614
,2023-01-25,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,12.64883
,2023-01-26,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,12.465342
,2023-01-27,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,11.449271
,2023-01-28,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,8.120086
,2023-01-29,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,4.718997
,2023-01-30,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,9.109743
,2023-01-31,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,10.96347
,2023-02-01,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,11.877246
,2023-02-02,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,12.990126
,2023-02-03,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,12.362721
,2023-02-04,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,11.183729
,2023-02-05,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,0.320142
,2023-02-06,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,10.20079
,2023-02-07,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,11.308318
,2023-02-08,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,11.962295
,2023-02-09,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,12.546323
,2023-02-10,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,12.744772
,2023-02-11,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,7.985764
,2023-02-12,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,7.085485
,2023-02-13,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,10.610106
,2023-02-14,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,11.048211
,2023-02-15,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,11.270195
,2023-02-16,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,11.114714
,2023-02-17,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,11.257066
,2023-02-18,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,2.681321
,2023-02-19,45995.0,MUVX CL 514,Consumidor Livre,SUDESTE,17.52,0.231852
