MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.65589
,2022-01-02,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.662496
,2022-01-03,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,5.020324
,2022-01-04,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.88808
,2022-01-05,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.102387
,2022-01-06,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.861951
,2022-01-07,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,2.88443
,2022-01-08,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.785831
,2022-01-09,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.649092
,2022-01-10,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.241479
,2022-01-11,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.873597
,2022-01-12,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.883369
,2022-01-13,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.224871
,2022-01-14,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.324103
,2022-01-15,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,1.635521
,2022-01-16,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.743863
,2022-01-17,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.678943
,2022-01-18,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.367287
,2022-01-19,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.45076
,2022-01-20,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.541553
,2022-01-21,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.520262
,2022-01-22,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.844742
,2022-01-23,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.704576
,2022-01-24,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.392047
,2022-01-25,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.397956
,2022-01-26,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.169253
,2022-01-27,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.891404
,2022-01-28,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.175231
,2022-01-29,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,1.630857
,2022-01-30,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.708934
,2022-01-31,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.354763
,2022-02-01,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.399103
,2022-02-02,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.577856
,2022-02-03,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.124431
,2022-02-04,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.3964
,2022-02-05,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.906581
,2022-02-06,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.7762910000000001
,2022-02-07,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.809308
,2022-02-08,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.6972000000000005
,2022-02-09,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.792643
,2022-02-10,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.743326
,2022-02-11,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.977053
,2022-02-12,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.790103
,2022-02-13,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.773293
,2022-02-14,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.875175
,2022-02-15,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.911253
,2022-02-16,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.637584
,2022-02-17,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.016804
,2022-02-18,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.701861
,2022-02-19,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.886848
,2022-02-20,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.716462
,2022-02-21,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.620259
,2022-02-22,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.394849
,2022-02-23,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.142799
,2022-02-24,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.2633
,2022-02-25,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.566272
,2022-02-26,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.808848
,2022-02-27,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.747377
,2022-02-28,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.67464
,2022-03-01,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.889564
,2022-03-02,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.478664
,2022-03-03,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.314036
,2022-03-04,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.67696
,2022-03-05,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.888294
,2022-03-06,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.709729
,2022-03-07,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.731357
,2022-03-08,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.743049
,2022-03-09,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.806125
,2022-03-10,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,2.788646
,2022-03-11,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.467622
,2022-03-12,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,1.070027
,2022-03-13,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.740318
,2022-03-14,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.936928
,2022-03-15,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.717558
,2022-03-16,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.446142
,2022-03-17,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.436096
,2022-03-18,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.622055
,2022-03-19,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.8142929999999999
,2022-03-20,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.723685
,2022-03-21,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.849613
,2022-03-22,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.179181
,2022-03-23,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,2.677409
,2022-03-24,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.662159
,2022-03-25,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.718782
,2022-03-26,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.883073
,2022-03-27,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.781225
,2022-03-28,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.96306
,2022-03-29,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.658451
,2022-03-30,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.276098
,2022-03-31,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.599616
,2022-04-01,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,2.906714
,2022-04-02,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.871986
,2022-04-03,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.707047
,2022-04-04,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.729673
,2022-04-05,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.993037
,2022-04-06,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.4048300000000005
,2022-04-07,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.833997
,2022-04-08,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.41744
,2022-04-09,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,1.00413
,2022-04-10,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.72909
,2022-04-11,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.291651
,2022-04-12,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.119252
,2022-04-13,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.200353
,2022-04-14,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.478563
,2022-04-15,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,1.825388
,2022-04-16,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.664037
,2022-04-17,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.666956
,2022-04-18,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.683821
,2022-04-19,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.496298
,2022-04-20,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.867998
,2022-04-21,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.709348
,2022-04-22,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.754915
,2022-04-23,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.763697
,2022-04-24,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.694967
,2022-04-25,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.981939
,2022-04-26,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.149686
,2022-04-27,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.8908
,2022-04-28,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.3573450000000005
,2022-04-29,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.26729
,2022-04-30,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,1.640447
,2022-05-01,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.711954
,2022-05-02,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.926406
,2022-05-03,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.67181
,2022-05-04,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.647614
,2022-05-05,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.833152
,2022-05-06,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.413494
,2022-05-07,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.824095
,2022-05-08,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.661231
,2022-05-09,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.541189
,2022-05-10,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,3.645232
,2022-05-11,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.825671
,2022-05-12,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.845616
,2022-05-13,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.445272
,2022-05-14,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.728918
,2022-05-15,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,0.661922
,2022-05-16,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.388078
,2022-05-17,27284.0,NEWBREAD,Consumidor Especial,SUDESTE,12.0,4.303478
